program,remote_per_byte,migration_per_byte,prefetch_per_byte,explicit_copy_per_byte,system_alloc_per_byte,managed_alloc_per_byte,device_alloc_per_byte,fixed_action_overhead_bytes,planner_overhead_fraction,best_uniform_action,best_uniform_cost,candidate_cost,oracle_cost,planner_cost,residual_vs_uniform,mixed,distinct_actions,selected_plan,oracle_gap
ALTIS_PATHFINDER_SIZE1,0.2,0.7,0.7,0.8,0.002,0.01,0.01,6553.6,0.0005,B0_SYSTEM,54348611.58400001,54385082.368,54250831.872,134250.496,-0.0006710527267771314,True,2,ping_pong_state:B1_UVM_DEMAND;seed_row:B0_SYSTEM;wall_immutable:B0_SYSTEM,0.0024746255747147144
ALTIS_PATHFINDER_SIZE1,0.2,0.7,0.7,0.8,0.002,0.01,0.01,6553.6,0.005,B0_SYSTEM,54348611.58400001,55593336.832,54250831.872,1342504.96,-0.02290261354839169,True,2,ping_pong_state:B1_UVM_DEMAND;seed_row:B0_SYSTEM;wall_immutable:B0_SYSTEM,0.02474625574714728
ALTIS_PATHFINDER_SIZE1,0.2,0.7,0.7,0.8,0.002,0.01,0.01,65536.0,0.0005,B0_SYSTEM,54584541.184,54562029.568,54427779.072000004,134250.496,0.0004124174264671724,True,2,ping_pong_state:B1_UVM_DEMAND;seed_row:B0_SYSTEM;wall_immutable:B0_SYSTEM,0.0024665804537496476
ALTIS_PATHFINDER_SIZE1,0.2,0.7,0.7,0.8,0.002,0.01,0.01,65536.0,0.005,B0_SYSTEM,54584541.184,55770284.032000005,54427779.072000004,1342504.96,-0.021723052393221795,True,2,ping_pong_state:B1_UVM_DEMAND;seed_row:B0_SYSTEM;wall_immutable:B0_SYSTEM,0.024665804537496613
ALTIS_PATHFINDER_SIZE1,0.2,0.7,0.7,0.8,0.002,0.01,0.03,6553.6,0.0005,B0_SYSTEM,54348611.58400001,54385082.368,54250831.872,134250.496,-0.0006710527267771314,True,2,ping_pong_state:B1_UVM_DEMAND;seed_row:B0_SYSTEM;wall_immutable:B0_SYSTEM,0.0024746255747147144
ALTIS_PATHFINDER_SIZE1,0.2,0.7,0.7,0.8,0.002,0.01,0.03,6553.6,0.005,B0_SYSTEM,54348611.58400001,55593336.832,54250831.872,1342504.96,-0.02290261354839169,True,2,ping_pong_state:B1_UVM_DEMAND;seed_row:B0_SYSTEM;wall_immutable:B0_SYSTEM,0.02474625574714728
ALTIS_PATHFINDER_SIZE1,0.2,0.7,0.7,0.8,0.002,0.01,0.03,65536.0,0.0005,B0_SYSTEM,54584541.184,54562029.568,54427779.072000004,134250.496,0.0004124174264671724,True,2,ping_pong_state:B1_UVM_DEMAND;seed_row:B0_SYSTEM;wall_immutable:B0_SYSTEM,0.0024665804537496476
ALTIS_PATHFINDER_SIZE1,0.2,0.7,0.7,0.8,0.002,0.01,0.03,65536.0,0.005,B0_SYSTEM,54584541.184,55770284.032000005,54427779.072000004,1342504.96,-0.021723052393221795,True,2,ping_pong_state:B1_UVM_DEMAND;seed_row:B0_SYSTEM;wall_immutable:B0_SYSTEM,0.024665804537496613
ALTIS_PATHFINDER_SIZE1,0.2,0.7,0.7,0.8,0.002,0.03,0.01,6553.6,0.0005,B0_SYSTEM,54348611.58400001,54386393.08800001,54252142.59200001,134250.496,-0.0006951696262121876,True,2,ping_pong_state:B1_UVM_DEMAND;seed_row:B0_SYSTEM;wall_immutable:B0_SYSTEM,0.0024745657882974718
ALTIS_PATHFINDER_SIZE1,0.2,0.7,0.7,0.8,0.002,0.03,0.01,6553.6,0.005,B0_SYSTEM,54348611.58400001,55594647.55200001,54252142.59200001,1342504.96,-0.022926730447826744,True,2,ping_pong_state:B1_UVM_DEMAND;seed_row:B0_SYSTEM;wall_immutable:B0_SYSTEM,0.024745657882974854
