program,remote_per_byte,migration_per_byte,prefetch_per_byte,explicit_copy_per_byte,system_alloc_per_byte,managed_alloc_per_byte,device_alloc_per_byte,fixed_action_overhead_bytes,planner_overhead_fraction,candidate_plan,selector_plan,plans_identical,candidate_action_cost,selector_action_cost,candidate_decision_cost,selector_decision_cost,candidate_full_cost,selector_full_cost,costs_identical,candidate_only_residual,strict_positive_residual
ALTIS_PATHFINDER_SIZE1,0.2,0.7,0.7,0.8,0.002,0.01,0.01,6553.6,0.0005,ping_pong_state:B1_UVM_DEMAND;seed_row:B0_SYSTEM;wall_immutable:B0_SYSTEM,ping_pong_state:B1_UVM_DEMAND;seed_row:B0_SYSTEM;wall_immutable:B0_SYSTEM,True,54250831.872,54250831.872,134250.496,134250.496,54385082.368,54385082.368,True,0.0,False
ALTIS_PATHFINDER_SIZE1,0.2,0.7,0.7,0.8,0.002,0.01,0.01,6553.6,0.005,ping_pong_state:B1_UVM_DEMAND;seed_row:B0_SYSTEM;wall_immutable:B0_SYSTEM,ping_pong_state:B1_UVM_DEMAND;seed_row:B0_SYSTEM;wall_immutable:B0_SYSTEM,True,54250831.872,54250831.872,1342504.96,1342504.96,55593336.832,55593336.832,True,0.0,False
ALTIS_PATHFINDER_SIZE1,0.2,0.7,0.7,0.8,0.002,0.01,0.01,65536.0,0.0005,ping_pong_state:B1_UVM_DEMAND;seed_row:B0_SYSTEM;wall_immutable:B0_SYSTEM,ping_pong_state:B1_UVM_DEMAND;seed_row:B0_SYSTEM;wall_immutable:B0_SYSTEM,True,54427779.072000004,54427779.072000004,134250.496,134250.496,54562029.568,54562029.568,True,0.0,False
ALTIS_PATHFINDER_SIZE1,0.2,0.7,0.7,0.8,0.002,0.01,0.01,65536.0,0.005,ping_pong_state:B1_UVM_DEMAND;seed_row:B0_SYSTEM;wall_immutable:B0_SYSTEM,ping_pong_state:B1_UVM_DEMAND;seed_row:B0_SYSTEM;wall_immutable:B0_SYSTEM,True,54427779.072000004,54427779.072000004,1342504.96,1342504.96,55770284.032000005,55770284.032000005,True,0.0,False
ALTIS_PATHFINDER_SIZE1,0.2,0.7,0.7,0.8,0.002,0.01,0.03,6553.6,0.0005,ping_pong_state:B1_UVM_DEMAND;seed_row:B0_SYSTEM;wall_immutable:B0_SYSTEM,ping_pong_state:B1_UVM_DEMAND;seed_row:B0_SYSTEM;wall_immutable:B0_SYSTEM,True,54250831.872,54250831.872,134250.496,134250.496,54385082.368,54385082.368,True,0.0,False
ALTIS_PATHFINDER_SIZE1,0.2,0.7,0.7,0.8,0.002,0.01,0.03,6553.6,0.005,ping_pong_state:B1_UVM_DEMAND;seed_row:B0_SYSTEM;wall_immutable:B0_SYSTEM,ping_pong_state:B1_UVM_DEMAND;seed_row:B0_SYSTEM;wall_immutable:B0_SYSTEM,True,54250831.872,54250831.872,1342504.96,1342504.96,55593336.832,55593336.832,True,0.0,False
ALTIS_PATHFINDER_SIZE1,0.2,0.7,0.7,0.8,0.002,0.01,0.03,65536.0,0.0005,ping_pong_state:B1_UVM_DEMAND;seed_row:B0_SYSTEM;wall_immutable:B0_SYSTEM,ping_pong_state:B1_UVM_DEMAND;seed_row:B0_SYSTEM;wall_immutable:B0_SYSTEM,True,54427779.072000004,54427779.072000004,134250.496,134250.496,54562029.568,54562029.568,True,0.0,False
ALTIS_PATHFINDER_SIZE1,0.2,0.7,0.7,0.8,0.002,0.01,0.03,65536.0,0.005,ping_pong_state:B1_UVM_DEMAND;seed_row:B0_SYSTEM;wall_immutable:B0_SYSTEM,ping_pong_state:B1_UVM_DEMAND;seed_row:B0_SYSTEM;wall_immutable:B0_SYSTEM,True,54427779.072000004,54427779.072000004,1342504.96,1342504.96,55770284.032000005,55770284.032000005,True,0.0,False
ALTIS_PATHFINDER_SIZE1,0.2,0.7,0.7,0.8,0.002,0.03,0.01,6553.6,0.0005,ping_pong_state:B1_UVM_DEMAND;seed_row:B0_SYSTEM;wall_immutable:B0_SYSTEM,ping_pong_state:B1_UVM_DEMAND;seed_row:B0_SYSTEM;wall_immutable:B0_SYSTEM,True,54252142.59200001,54252142.59200001,134250.496,134250.496,54386393.08800001,54386393.08800001,True,0.0,False
ALTIS_PATHFINDER_SIZE1,0.2,0.7,0.7,0.8,0.002,0.03,0.01,6553.6,0.005,ping_pong_state:B1_UVM_DEMAND;seed_row:B0_SYSTEM;wall_immutable:B0_SYSTEM,ping_pong_state:B1_UVM_DEMAND;seed_row:B0_SYSTEM;wall_immutable:B0_SYSTEM,True,54252142.59200001,54252142.59200001,1342504.96,1342504.96,55594647.55200001,55594647.55200001,True,0.0,False
ALTIS_PATHFINDER_SIZE1,0.2,0.7,0.7,0.8,0.002,0.03,0.01,65536.0,0.0005,ping_pong_state:B1_UVM_DEMAND;seed_row:B0_SYSTEM;wall_immutable:B0_SYSTEM,ping_pong_state:B1_UVM_DEMAND;seed_row:B0_SYSTEM;wall_immutable:B0_SYSTEM,True,54429089.792,54429089.792,134250.496,134250.496,54563340.288,54563340.288,True,0.0,False
