kind	name	version	bytes	sha256	license	verification	status
base_archive	msys2-base-x86_64-20260322.sfx.exe	2026-03-22	52820994	6FE0CC8154132040E034FF4DAFACE2A4163A9D1F6EBAAA1133394BFF460BD5CF	GPL_AND_PACKAGE_SPECIFIC_OPEN_SOURCE	OFFICIAL_SAME_RELEASE_SHA256_SIDECAR_EXACT_MATCH	VERIFIED_EXTRACTED_LOCAL_ONLY
source_archive	carcara-carcara-1.1.0.zip	1.1.0	1382442	FCD42C4ED6501B690E3F363E980B2B1403A1A7C9DF262FECC0A4C831B8960F30	Apache-2.0	MATCHED_FROZEN_PRIOR_SOURCE_HASH	VERIFIED_EXTRACTED
upstream_binary	cvc5.exe	1.3.4_git_f3b21c4	26757632	FC71384CB2DBA76AD775CD6088DE76C3F4DB10BB1CC594FA4CFCD3110B576C3B	Modified-BSD	MATCHED_FROZEN_PRIOR_BINARY_HASH_AND_VERSION_SMOKE	PASS
package_archive	mingw-w64-clang-x86_64-clang	22.1.8-2	32546219	4EB99C39D1ADE53DC55362C7C334265E629B84270DBE474377900330E0B81A5D	Apache-2.0-WITH-LLVM-exception	PACMAN_REPOSITORY_SIGNATURE_AND_INTEGRITY	INSTALLED_LOCAL_ONLY
package_archive	mingw-w64-clang-x86_64-cmake	4.4.2-1	9917829	BE510BA83932DBCEFF347AAEA53D575AA339A257B6B91DCDFBD9C4EF063E8D11	MIT	PACMAN_REPOSITORY_SIGNATURE_AND_INTEGRITY	INSTALLED_LOCAL_ONLY
package_archive	mingw-w64-clang-x86_64-ninja	1.13.2-1	194994	DBB68154241FC24DF9C176F605712F6F2491226F8C495627E95201C149A49A65	Apache-2.0	PACMAN_REPOSITORY_SIGNATURE_AND_INTEGRITY	INSTALLED_LOCAL_ONLY
package_archive	mingw-w64-clang-x86_64-gmp	6.3.0-2	602611	69F2F77C6C25E9F6BB0FED4CE0DF1883054282236857CD17E6EB1AA0E717470E	LGPL-3.0-or-later_OR_GPL	PACMAN_REPOSITORY_SIGNATURE_AND_INTEGRITY	INSTALLED_LOCAL_ONLY
package_archive	mingw-w64-clang-x86_64-rust	1.97.0-1	69036138	F3E4F805E2B59592AC855D1CA672F8C8EFCDB6E10589F17C15BDB6B4A3E50DB3	Apache-2.0_AND_MIT	PACMAN_REPOSITORY_SIGNATURE_AND_INTEGRITY	INSTALLED_LOCAL_ONLY
package_archive	mingw-w64-clang-x86_64-python	3.14.7-1	27767675	25C5AE83B65F3004F0F5415E8DC3E64A9938132AB39CDCCEAEAA34ACF76A77CC	PSF-2.0	PACMAN_REPOSITORY_SIGNATURE_AND_INTEGRITY	INSTALLED_LOCAL_ONLY
package_archive	make	4.4.1-3	514683	AF0BDBA17F06FE037F0194069ADAA31A8FE45F1A11381501896AEA1FAE37BD5D	GPL-3.0-or-later	PACMAN_REPOSITORY_SIGNATURE_AND_INTEGRITY	INSTALLED_LOCAL_ONLY
package_archive	zip	3.0-5	154259	874E20BF625FBE577949444FAF30AB9A725DBD4886EC9BFF26459152DA7F831C	BSD	PACMAN_REPOSITORY_SIGNATURE_AND_INTEGRITY	INSTALLED_LOCAL_ONLY
package_archive	m4	1.4.21-1	258635	B561E8871C7599502D9FAE7196EE965B3FED3D7AF09154EB8D2F5E4D9E5E5106	GPL-3.0-or-later	PACMAN_REPOSITORY_SIGNATURE_AND_INTEGRITY	INSTALLED_LOCAL_ONLY
package_archive	diffutils	3.12-1	394515	7902C8CE3D4DD69A0F5E98DC9D5C83C17B23314BA486169DB57EF6E2835CE3B6	GPL-3.0-or-later	PACMAN_REPOSITORY_SIGNATURE_AND_INTEGRITY	INSTALLED_LOCAL_ONLY
portable_executable	clang++.exe	22.1.8	164352	0054204BC07618CBC06442813B648F396A001B5965C06A3A7D11CDBB29327EA3	Apache-2.0-WITH-LLVM-exception	VERSION_AND_CXX_COMPILE_RUN_SMOKE	PASS
portable_executable	cmake.exe	4.4.2	15051776	AB58AC4F34757E506CEA1C303F4238ED769A11976894BD1686F84E26354C1ED2	MIT	VERSION_SMOKE	PASS
portable_executable	ninja.exe	1.13.2	463360	DB83D61ECD931DC5988C11BEAEBA4AF513F7585FEDF679CA73F7FFB9BE014EE4	Apache-2.0	VERSION_SMOKE	PASS
portable_executable	rustc.exe	1.97.0	19968	8735D68C08254DB4B46CDCBD1284207A195B21D2BA4D9D7CD045724E6F6D4A35	Apache-2.0_AND_MIT	VERSION_AND_RUST_COMPILE_RUN_SMOKE	PASS
portable_executable	cargo.exe	1.97.0	23072768	F1C22356C97045314291E10DDC355A701D11FE052F519A8FAB9C6BB18AF8EB6B	Apache-2.0_AND_MIT	VERSION_AND_LOCKED_BUILD_INVOCATION	PASS_EXECUTION__DEPENDENCY_TEST_BLOCKED
portable_executable	python.exe	3.14.7	97792	7CFEF9AD7EE8DD153DF5DA6B87B095FCBFCD0DB2206CC1B0DC1229B74918AE69	PSF-2.0	VERSION_SMOKE	PASS
portable_executable	make.exe	4.4.1	236000	91B7E155590D59DB22E5EB0A3FFEEC6350149F70F9ED2C242D133E584EB72FEE	GPL-3.0-or-later	VERSION_AND_DEPENDENCY_BUILD_EXECUTION	PASS_EXECUTION__MPFR_TEST_FAILED
portable_executable	zip.exe	3.0	193144	2F4F6E56512EB2F2AE772EDFA887A605FC7786B6F5E519A893361C651B755622	BSD	VERSION_SMOKE	PASS
smoke_binary	hello-cxx.exe	resource-smoke	77824	BF585F99746AC245E071C5B9346DDCB54AEF55737290D047C543E28EEACA5AB1	NOT_APPLICABLE	COMPILED_AND_RAN_FROZEN_SUCCESS_STRING	PASS
smoke_binary	hello-rust.exe	resource-smoke	435712	D1C06B1F8AD7DA0A6D4DF011841DC018AFDBFF6719C1DAA7C919FFBA9DBB4C68	NOT_APPLICABLE	COMPILED_AND_RAN_FROZEN_SUCCESS_STRING	PASS
failure_log	MPFR-test-suite.log	4.2.1	623	8DEBBD556FFE1766F89E03E35F8A57ABF3039777BBE81564F0D26B2624A38703	NOT_APPLICABLE	DIRECT_SHA256	FAIL_1_OF_198
failure_log	MPFR-tsprintf.log	4.2.1	124	0CD13B186FFF6F88761EA05448C9E0FD91B2BBDBCF7B3E3B9D4948BC34AFF968	NOT_APPLICABLE	DIRECT_SHA256	FAIL_EXIT_127

