kind	name	version_or_commit	bytes	sha256	license	provenance	status
source_archive	carcara-1.1.0.zip	5d817d86bd18ea2a850a580d602f17f36959ee99	1382442	FCD42C4ED6501B690E3F363E980B2B1403A1A7C9DF262FECC0A4C831B8960F30	Apache-2.0	VERIFIED_RESUME1_ARCHIVE_AND_OFFICIAL_TAG_METADATA	VERIFIED_EXTRACTED_UNMODIFIED
source_tree	carcara-carcara-1.1.0	5d817d86bd18ea2a850a580d602f17f36959ee99	NA	A2D1D25C61CA7076736DE410DFA58C96BF265FE886025D8AA7083C2D4F5735E3	Apache-2.0	72_FILE_HASH_MANIFEST_DIGEST_EQUAL_TO_RESUME1	VERIFIED_READ_ONLY
source_file	Cargo.lock	1.1.0	14882	0E9C953C2C1B184511E2DFDF19D4BB7C35A6BE55140BC1A3D77179411D7C7378	Apache-2.0_PROJECT	EXTRACTED_FROM_VERIFIED_ARCHIVE	UNCHANGED_AFTER_FETCH_AND_BUILDS
source_file	LICENSE	1.1.0	9723	62C7A1E35F56406896D7AA7CA52D0CC0D272AC022B5D2796E7D6905DB8A3636A	Apache-2.0	EXTRACTED_FROM_VERIFIED_ARCHIVE	VERIFIED
bootstrap	rustup-init.exe	current_official_bootstrap	14417054	03DBAAE1D33A4D220BD0D202E5092955DAE859C119074192CA513F8C4713FFF7	MIT_OR_APACHE_2_0	STATIC_RUST_LANG_OFFICIAL_SHA256_SIDECAR	VERIFIED_EXECUTED_LOCAL_ONLY
toolchain	rustc.exe	1.72.0__5680fa18f	45503	0968EB36AB120BBEA43FD9A1D2811570EF900CF4CA7F6A48F122C182C717ED77	MIT_AND_APACHE_2_0	OFFICIAL_RUSTUP_TOOLCHAIN	VERSION_SMOKE_PASS
toolchain	cargo.exe	1.72.0__103a7ff2e	48852656	E91B95ECB8306BB6CA109CAA3F04E178B49EB5AEEA1949CC9BEB032996838D2F	MIT_AND_APACHE_2_0	OFFICIAL_RUSTUP_TOOLCHAIN	VERSION_SMOKE_PASS
bootstrap	msys2-clang.exe	22.1.8	164352	0054204BC07618CBC06442813B648F396A001B5965C06A3A7D11CDBB29327EA3	Apache-2.0-WITH-LLVM-exception	R3A_REGISTERED_CVC5_RESUME1_BOOTSTRAP	EXECUTED_LINKER_MISSING_LIBGCC
build_log	build1.combined.log	clean_build_1	1552	F98994E3E9C52D00B8AD091969F850122AF3D53D8E71FFD40419C0A86FFFC620	NOT_APPLICABLE	DIRECT_SHA256	FAIL_OFFLINE_INDEX_METADATA
fetch_log	fetch-locked.log	mechanical_correction	5388	E27558E646E494C8C91E9789C824830F3FDA90A0D161D3A8642BFFAFF945FA41	NOT_APPLICABLE	DIRECT_SHA256	PASS
build_log	build2.combined.log	corrected_clean_build_2	225280	9A73B26FF10FA1E8B77B9B89037CF0D38016E7AD4E85A6AF7EE6B61371718066	NOT_APPLICABLE	DIRECT_SHA256	FAIL_MISSING_LIBGCC_EH_AND_LIBGCC
required_binary	carcara.exe	1.1.0_windows_x86_64	UNKNOWN	UNAVAILABLE	Apache-2.0	NO_BINARY_PRODUCED	MISSING_BLOCKER
