kind	name	version_or_commit	bytes	sha256	license	provenance	status
archive	msys2-base-x86_64-20260611.tar.xz	20260611	53555380	A2D047E8EE213C3C6A49A8DE427EB1069DF12207C0422FF1B3CBB5C905C34221	MULTI_PACKAGE_OPEN_SOURCE	OFFICIAL_MSYS2_REPO_PLUS_OFFICIAL_GITHUB_SHA256	VERIFIED
checksum	msys2-base-x86_64-20260611.tar.xz.sha256	20260611	100	B098A55E4E0D6119775DE3B38120C0503607F537C7F34552758A1F95EBD347EA	NA	OFFICIAL_MSYS2_GITHUB_RELEASE	EXACT_MATCH
signature	msys2-base-x86_64-20260611.tar.xz.sig	20260611	566	076F5623B702D5016CF0253E1D14A6BD4870A90243243E96409B227F0D5BF70F	NA	OFFICIAL_MSYS2_REPO	SIGNER_SUBKEY_IDENTIFIED__PUBKEY_NOT_IN_PACKAGE_KEYRING
tool	gcc.exe	16.2.0-3	3302709	AB37C11763FDCB3BF6F809B5D033A31EBEB77F10BA5934C72FA37287EE56144F	GPL-3.0-or-later	SIGNED_MSYS2_MINGW64_PACKAGE	VERSION_AND_LINK_SMOKE_PASS
runtime	libgcc_eh.a	16.2.0-3	11726	9F2A47DD4D2530F54A771139F532D4560223630173F5FF4ADABD26A2A37CF46E	GPL-3.0-or-later_WITH_GCC-exception-3.1	SIGNED_MSYS2_MINGW64_PACKAGE	VERIFIED
runtime	libgcc.a	16.2.0-3	3030766	2FB177D002383F802852CE7506096AF5FF9EA22836F0D31D51849DE485214ED2	GPL-3.0-or-later_WITH_GCC-exception-3.1	SIGNED_MSYS2_MINGW64_PACKAGE	VERIFIED
tool	rustc.exe	1.72.0	45503	0968EB36AB120BBEA43FD9A1D2811570EF900CF4CA7F6A48F122C182C717ED77	MIT_AND_APACHE-2.0	READ_ONLY_RESUME3_OFFICIAL_RUSTUP	VERSION_AND_LINK_SMOKE_PASS
tool	cargo.exe	1.72.0	48852656	E91B95ECB8306BB6CA109CAA3F04E178B49EB5AEEA1949CC9BEB032996838D2F	MIT_AND_APACHE-2.0	READ_ONLY_RESUME3_OFFICIAL_RUSTUP	VERSION_PASS
source_archive	carcara-1.1.0.zip	5d817d86bd18ea2a850a580d602f17f36959ee99	1382442	FCD42C4ED6501B690E3F363E980B2B1403A1A7C9DF262FECC0A4C831B8960F30	Apache-2.0	READ_ONLY_RESUME3_VERIFIED_COPY	VERIFIED
source_manifest	carcara-source-files.sha256	72_files	6860	79F052442AE3FF77838AEBA558A6493FBBF0A23CB94AD7DB280B031150B7D48F	NA	DIRECT_CONTENT_HASH_MANIFEST	72_OF_72_EQUAL_TO_FROZEN_INPUT
build_log	carcara-clean-build.combined.log	clean_build_1_of_1	4982	8A2AB4E57525CD096D0F8ED8101543740AA80AD2B42B9904CB99BE6479626E22	NA	DIRECT_SHA256	FAIL_CC_PATH_TRANSLATION
config_log	gmp-config.log	gmp-mpfr-sys-1.6.1	13509	776222AA6522513B840493F7A1902D2C4C5BADB985E1B53BABC070B9338BD11E	NA	DIRECT_SHA256	COMMAND_NOT_FOUND_127
