split	family	bytes	git_blob_sha1	path
train	quantize	408	8ac54e103d33778ae14574a00c957eb672269aad	tensorflow/lite/micro/integration_tests/seanet/quantize/quantize0.tflite
train	quantize	408	e2dab48117188656b5d4fba53ac5ec508e9c7398	tensorflow/lite/micro/integration_tests/seanet/quantize/quantize1.tflite
train	leaky_relu	872	19626769841dbd6595bf69a2f5a0fda9fd4fdefb	tensorflow/lite/micro/integration_tests/seanet/leaky_relu/leaky_relu0.tflite
train	leaky_relu	640	df26a0af2e4828495c7bbe0cf34db3cd203de962	tensorflow/lite/micro/integration_tests/seanet/leaky_relu/leaky_relu12.tflite
train	leaky_relu	624	d684ecc382c60916500d3a6d0e75899abb9efb68	tensorflow/lite/micro/integration_tests/seanet/leaky_relu/leaky_relu22.tflite
train	pad	784	e2f94fef85c125f04fc5679e9f2670a0335fd8a6	tensorflow/lite/micro/integration_tests/seanet/pad/pad0.tflite
train	pad	832	b4c2aec73922b05f952aaeb5a9378b14c3c26375	tensorflow/lite/micro/integration_tests/seanet/pad/pad10.tflite
train	pad	816	28fa98f0900ea6fb914ce8623dc26fcc086868ed	tensorflow/lite/micro/integration_tests/seanet/pad/pad18.tflite
train	add	1288	561c47aab653a3bfced1e02415410a7feafd2917	tensorflow/lite/micro/integration_tests/seanet/add/add0.tflite
train	add	1008	e818380df0342a252eb2120fc6cb8757a954671d	tensorflow/lite/micro/integration_tests/seanet/add/add1.tflite
train	add	912	51381c9f07e94d68f8b5a135258b5dbcbfe62607	tensorflow/lite/micro/integration_tests/seanet/add/add16.tflite
heldout	sub	864	e79d029e25094b7c5ea6eca2a76a3673a5ccc81b	tensorflow/lite/micro/integration_tests/seanet/sub/sub0.tflite
heldout	sub	864	079263a6070fe26779bbce76346892756c40630c	tensorflow/lite/micro/integration_tests/seanet/sub/sub4.tflite
heldout	strided_slice	1128	2abcc1f9002b8f22e19a990b4451e6f17ae756d5	tensorflow/lite/micro/integration_tests/seanet/strided_slice/strided_slice0.tflite
heldout	strided_slice	1232	be5a63749981f17f396a7178fc96bf770e8f9cf1	tensorflow/lite/micro/integration_tests/seanet/strided_slice/strided_slice15.tflite
heldout	strided_slice	1128	e803cd2ec16586d167becdd444c35a31d3f458d5	tensorflow/lite/micro/integration_tests/seanet/strided_slice/strided_slice33.tflite
heldout	conv	2368	93d2ee405a53e245666faf926bbf3e0435dbdbc4	tensorflow/lite/micro/integration_tests/seanet/conv/conv0.tflite
heldout	conv	2176	3267651967c8c84d0e5b8779448f9db783e98484	tensorflow/lite/micro/integration_tests/seanet/conv/conv1.tflite
heldout	conv	3488	3ff7501b72cb467b373cb7e7fed97b921c5b573c	tensorflow/lite/micro/integration_tests/seanet/conv/conv2.tflite
heldout	conv	1600	f5bc5be066224f95275c79a5c5362db8d1bddaee	tensorflow/lite/micro/integration_tests/seanet/conv/conv20.tflite
heldout	conv	2032	2f4884873d205e88478f4c0c8da89c7124afdd10	tensorflow/lite/micro/integration_tests/seanet/conv/conv21.tflite
heldout	transpose_conv	3232	034e89df87e006dd4bc793b3164d0bdeccc6ae91	tensorflow/lite/micro/integration_tests/seanet/transpose_conv/transpose_conv4.tflite
heldout	hello_world	2704	9a379ea9d93ed1662117d4ebc659e3cc8667f192	tensorflow/lite/micro/examples/hello_world/models/hello_world_int8.tflite
heldout	hello_world	3164	f741b3a7b6b63a476832b4f95c3199b7b8b7e17e	tensorflow/lite/micro/examples/hello_world/models/hello_world_float.tflite
