split,family,model,arm,eligible,verify,equality,identifier,alignment,bytes,weighted_distance,nodes,aliases,builder_calls,builder_wall_us,verify_wall_us,reader_warm_ns,reader_cold_ns,planner_wall_ms,planner_cpu_ms,planner_peak_rss,planner_states,planner_transitions,planner_merges,planner_distinct_raw_merges,planner_temp_bytes,fallback,process_peak_rss,canonical_fnv64
train,quantize,00_quantize_quantize0,generated_pack_default,1,1,1,1,1,408,11084,25,0,0,1.617,0.141,13.760,72566.000,0.000,0.000,0,0,0,0,0,0,0,13017088,17233418536327131010
train,quantize,00_quantize_quantize0,stable_legal_topo,1,1,1,1,1,400,15184,25,0,73,3.310,0.140,13.900,72896.000,0.000,0.000,0,0,0,0,0,0,0,13037568,17233418536327131010
train,quantize,00_quantize_quantize0,stable_dedup_off,1,1,1,1,1,424,16048,25,0,73,1.360,0.142,14.400,71638.000,0.000,0.000,0,0,0,0,0,0,0,13041664,17233418536327131010
train,quantize,00_quantize_quantize0,stable_size_matched_capacity,1,1,1,1,1,400,15184,25,0,73,2.447,0.148,14.160,72276.000,0.000,0.000,0,0,0,0,0,0,0,13049856,17233418536327131010
train,quantize,00_quantize_quantize0,hot_first_ready,1,1,1,1,1,408,17436,25,0,73,2.333,0.140,14.200,72882.000,0.000,0.000,0,0,0,0,0,0,0,13021184,17233418536327131010
train,quantize,00_quantize_quantize0,local_field_order,1,1,1,1,1,400,15184,25,0,73,2.630,0.142,14.200,78464.000,0.000,0.000,0,0,0,0,0,0,0,13025280,17233418536327131010
train,quantize,00_quantize_quantize0,generic_bounded_beam,1,1,1,1,1,408,18796,25,0,73,2.503,0.141,13.980,78532.000,2.283,3.000,4521984,200,1430,0,0,608,0,13025280,17233418536327131010
train,quantize,00_quantize_quantize0,fb_rcfdp_bounded,1,1,1,1,1,424,20024,25,0,73,2.377,0.142,14.180,72064.000,5.060,5.000,4624384,193,1436,45,45,624,0,13025280,17233418536327131010
train,quantize,01_quantize_quantize1,generated_pack_default,1,1,1,1,1,408,11084,25,0,0,1.613,0.139,14.820,72208.000,0.000,0.000,0,0,0,0,0,0,0,13021184,16765929746940610966
train,quantize,01_quantize_quantize1,stable_legal_topo,1,1,1,1,1,400,15184,25,0,73,3.190,0.140,13.660,72558.000,0.000,0.000,0,0,0,0,0,0,0,13041664,16765929746940610966
train,quantize,01_quantize_quantize1,stable_dedup_off,1,1,1,1,1,424,16048,25,0,73,1.310,0.139,13.760,71876.000,0.000,0.000,0,0,0,0,0,0,0,13045760,16765929746940610966
train,quantize,01_quantize_quantize1,stable_size_matched_capacity,1,1,1,1,1,400,15184,25,0,73,2.337,0.139,13.720,73666.000,0.000,0.000,0,0,0,0,0,0,0,13053952,16765929746940610966
