model,split,family,candidate_bytes,union_best_bytes,bytes_delta,bytes_delta_pct,candidate_distance,union_best_distance,distance_delta,distance_delta_pct,candidate_reader_warm_ns,union_best_reader_warm_ns,reader_warm_delta_pct,candidate_reader_cold_ns,union_best_reader_cold_ns,reader_cold_delta_pct,candidate_builder_wall_us,union_best_builder_wall_us,builder_delta_pct,candidate_fallback,candidate_transitions,candidate_distinct_raw_merges,primary_win
00_quantize_quantize0,train,quantize,424.0,400.0,24.0,6.0,20024.0,11084.0,8940.0,80.65680259833995,14.18,13.76,3.0523255813953485,72064.0,71638.0,0.594656467238058,2.377,1.36,74.77941176470586,0,1436.0,45.0,0
01_quantize_quantize1,train,quantize,424.0,400.0,24.0,6.0,20024.0,11084.0,8940.0,80.65680259833995,13.88,13.66,1.6105417276720397,71416.0,71334.0,0.11495219670844198,2.327,1.31,77.63358778625953,0,1436.0,45.0,0
02_leaky_relu_leaky_relu0,train,leaky_relu,896.0,856.0,40.0,4.672897196261682,68884.0,22312.0,46572.0,208.73072785944782,15.88,14.78,7.442489851150213,72328.0,72186.0,0.19671404427451306,3.043,1.963,55.017829852266935,0,2854.0,29.0,0
03_leaky_relu_leaky_relu12,train,leaky_relu,664.0,624.0,40.0,6.410256410256411,46388.0,19192.0,27196.0,141.7048770320967,15.02,14.88,0.9408602150537553,71958.0,72202.0,-0.3379407772637877,2.77,1.78,55.61797752808989,0,2854.0,29.0,1
04_leaky_relu_leaky_relu22,train,leaky_relu,648.0,608.0,40.0,6.578947368421052,44820.0,18712.0,26108.0,139.52543822146217,15.32,14.84,3.234501347708898,71966.0,72252.0,-0.39583679344516415,2.723,1.877,45.0719232818327,0,2854.0,29.0,1
05_pad_pad0,train,pad,800.0,784.0,16.0,2.0408163265306123,68112.0,27504.0,40608.0,147.64397905759162,15.96,15.72,1.5267175572519096,72196.0,71880.0,0.43962159154145797,2.997,2.03,47.63546798029557,0,3975.0,23.0,0
06_pad_pad10,train,pad,848.0,832.0,16.0,1.9230769230769231,73140.0,28368.0,44772.0,157.82571912013537,16.12,15.84,1.7676767676767748,74354.0,72012.0,3.2522357384880296,3.437,2.3,49.434782608695656,0,3978.0,23.0,0
07_pad_pad18,train,pad,832.0,816.0,16.0,1.9607843137254901,70972.0,28020.0,42952.0,153.2905067808708,16.24,16.08,0.9950248756218916,74590.0,72764.0,2.5094827112308282,3.1,2.25,37.777777777777786,0,3978.0,23.0,0
08_add_add0,train,add,1328.0,1288.0,40.0,3.1055900621118013,132664.0,38992.0,93672.0,240.23389413212968,15.3,15.08,1.4588859416445665,72062.0,73098.0,-1.4172754384524884,3.983,3.127,27.374480332587158,0,4609.0,31.0,1
09_add_add1,train,add,1024.0,1000.0,24.0,2.4,96796.0,31752.0,65044.0,204.85008818342152,15.2,15.14,0.39630118890355825,73080.0,72096.0,1.3648468708388815,3.457,2.777,24.486856319769522,0,4588.0,31.0,0
10_add_add16,train,add,928.0,904.0,24.0,2.6548672566371683,85372.0,28616.0,56756.0,198.33659491193737,15.18,15.04,0.9308510638297911,73558.0,71744.0,2.528434433541481,3.167,2.413,31.247409863240783,0,4588.0,31.0,0
11_sub_sub0,heldout,sub,888.0,864.0,24.0,2.7777777777777777,78932.0,30096.0,48836.0,162.26741095162149,14.88,14.76,0.8130081300813076,71114.0,71144.0,-0.04216799730124817,3.557,2.38,49.45378151260505,0,4858.0,29.0,1
12_sub_sub4,heldout,sub,888.0,864.0,24.0,2.7777777777777777,78932.0,30096.0,48836.0,162.26741095162149,14.96,14.92,0.2680965147453145,72794.0,72038.0,1.0494461256559038,3.45,2.777,24.234785740007204,0,4858.0,29.0,0
13_strided_slice_strided_slice0,heldout,strided_slice,1184.0,1136.0,48.0,4.225352112676056,135004.0,52036.0,82968.0,159.44346221846413,16.46,16.32,0.8578431372549055,70750.0,70850.0,-0.14114326040931546,4.283,2.99,43.24414715719064,0,7404.0,23.0,1
14_strided_slice_strided_slice15,heldout,strided_slice,1296.0,1248.0,48.0,3.8461538461538463,150268.0,56496.0,93772.0,165.97989238176154,16.42,16.34,0.48959608323134546,72028.0,71038.0,1.3936203158872715,4.423,3.18,39.0880503144654,0,7371.0,25.0,0
15_strided_slice_strided_slice33,heldout,strided_slice,1184.0,1136.0,48.0,4.225352112676056,135004.0,52036.0,82968.0,159.44346221846413,16.38,16.32,0.36764705882352156,71826.0,71480.0,0.4840514829322888,4.687,3.003,56.077256077256074,0,7404.0,23.0,0
