kind,model,wall_ms,cpu_ms,peak_rss,nodes,canonical_fnv64
PROFILE,00_quantize_quantize0,0.0901,0,4202496,25,17233418536327131010
PROFILE,01_quantize_quantize1,0.1603,0,4206592,25,16765929746940610966
PROFILE,02_leaky_relu_leaky_relu0,0.2101,0,4235264,32,16651537719671144799
PROFILE,03_leaky_relu_leaky_relu12,0.2104,0,4235264,32,12554223923102201017
PROFILE,04_leaky_relu_leaky_relu22,0.1189,0,4235264,32,2909210619804601163
PROFILE,05_pad_pad0,0.1882,0,4239360,38,1231445083847178882
PROFILE,06_pad_pad10,0.1329,0,4231168,38,3041057189972117130
PROFILE,07_pad_pad18,0.1374,0,4235264,38,2504727982801225443
PROFILE,08_add_add0,0.2211,0,4243456,41,4642472383079383666
PROFILE,09_add_add1,0.2373,1,4239360,41,11311643723877767799
PROFILE,10_add_add16,0.1398,0,4243456,41,179450923079984598
PROFILE,11_sub_sub0,0.2154,0,4243456,41,3227179252688498663
PROFILE,12_sub_sub4,0.2369,0,4247552,41,13875922224478425032
PROFILE,13_strided_slice_strided_slice0,0.2606,0,4251648,50,12703725449622278446
PROFILE,14_strided_slice_strided_slice15,0.1506,0,4251648,50,11662840376245977390
PROFILE,15_strided_slice_strided_slice33,0.1434,0,4251648,50,11430075486722334661
PROFILE,16_conv_conv0,0.2064,0,4263936,50,16734817698509843288
PROFILE,17_conv_conv1,0.1528,0,4255744,50,2543187655293313801
PROFILE,18_conv_conv2,0.1993,0,4272128,50,11796727135231356218
PROFILE,19_conv_conv20,0.1465,0,4251648,50,65810539343067998
PROFILE,20_conv_conv21,0.1721,0,4247552,50,13643688584383772517
PROFILE,21_transpose_conv_transpose_conv4,0.1907,1,4280320,55,8224305740907435918
PROFILE,22_hello_world_hello_world_int8,0.3983,0,4288512,123,7036368475164312959
PROFILE,23_hello_world_hello_world_float,0.2659,0,4288512,103,3830734122163917585
