split,family,model,arm,eligible,verify,equality,identifier,alignment,bytes,weighted_distance,nodes,aliases,builder_calls,builder_wall_us,builder_cpu_us,builder_capacity_bytes,builder_scratch_bytes,builder_reallocated,verify_wall_us,verify_cpu_us,equivalence_wall_us,equivalence_cpu_us,reader_generic_warm_ns,reader_generic_cold_ns,reader_trace_warm_ns,reader_trace_warm_cpu_ns,reader_trace_cold_ns,reader_trace_cold_cpu_ns,graph_extraction_wall_us,graph_extraction_cpu_us,planner_wall_ms,planner_cpu_ms,planner_peak_rss,planner_states,planner_transitions,planner_merges,planner_distinct_raw_merges,planner_temp_bytes,useful_residual_actions,candidate_plan_transitions,fallback,process_peak_rss,total_temp_bytes,end_to_end_construction_wall_us,end_to_end_construction_cpu_us,canonical_fnv64,plan_fnv64
train,quantize,00_quantize_quantize0,generated_pack_default,1,1,1,1,1,408,768768,25,0,0,1.627,0.000,1024,0,0,0.142,0.000,36.100,0.000,14.040,75808.000,26.940,0.000,70180.000,60000.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,13082624,1024,37.869,0.000,17233418536327131010,1469598103934665603
train,quantize,00_quantize_quantize0,stable_legal_topo,1,1,1,1,1,400,1278464,25,0,73,3.260,0.000,1024,0,0,0.142,0.000,44.100,0.000,14.060,72158.000,27.000,0.000,70392.000,60000.000,77.300,1000.000,0.006,0.000,4272128,25,0,0,0,200,0,25,0,13107200,1224,130.402,1000.000,17233418536327131010,5342268063401590554
train,quantize,00_quantize_quantize0,stable_dedup_off,1,1,1,1,1,424,1357312,25,0,73,1.413,0.000,1024,0,0,0.141,0.000,43.100,0.000,14.060,71574.000,27.100,200.000,70884.000,60000.000,77.300,1000.000,0.006,0.000,4272128,25,0,0,0,200,0,25,0,13111296,1224,127.554,1000.000,17233418536327131010,5342268063401590554
train,quantize,00_quantize_quantize0,stable_size_matched_capacity,1,1,1,1,1,400,1278464,25,0,73,2.530,0.000,616,0,1,0.142,0.000,38.500,0.000,13.860,72734.000,26.860,0.000,70374.000,80000.000,77.300,1000.000,0.006,0.000,4272128,25,0,0,0,200,0,25,0,13111296,816,124.071,1000.000,17233418536327131010,5342268063401590554
train,quantize,00_quantize_quantize0,hot_first_ready,1,1,1,1,1,408,1377024,25,0,73,2.280,0.000,1024,0,0,0.142,0.000,39.400,0.000,13.740,72250.000,27.080,0.000,69824.000,80000.000,77.300,1000.000,0.005,0.000,4272128,25,0,0,0,200,0,25,0,13111296,1224,124.222,1000.000,17233418536327131010,11108411112992920370
train,quantize,00_quantize_quantize0,local_field_order,1,1,1,1,1,400,1278464,25,0,73,2.413,0.000,1024,0,0,0.172,0.000,47.700,0.000,14.120,72840.000,27.020,0.000,70294.000,60000.000,77.300,1000.000,0.003,0.000,4272128,25,0,0,0,200,0,25,0,13111296,1224,130.185,1000.000,17233418536327131010,10840021880163052426
train,quantize,00_quantize_quantize0,generic_bounded_beam,1,1,1,1,1,408,1827584,25,0,73,2.190,0.000,1024,0,0,0.142,0.000,36.600,0.000,14.040,72042.000,26.840,0.000,70156.000,60000.000,77.300,1000.000,2.521,2.000,4608000,200,1538,0,0,6656,0,25,0,13111296,7680,2637.232,3000.000,17233418536327131010,8531049897679802052
train,quantize,00_quantize_quantize0,fb_rcfdp_bounded,1,1,1,1,1,408,1821952,25,0,73,2.207,33.333,1024,0,0,0.142,0.000,39.200,0.000,13.800,76110.000,26.960,0.000,70840.000,60000.000,77.300,1000.000,5.502,6.000,4747264,193,1538,27,27,6208,0,25,0,13111296,7232,5620.449,7033.333,17233418536327131010,14123931203845049066
train,quantize,01_quantize_quantize1,generated_pack_default,1,1,1,1,1,408,768768,25,0,0,1.550,0.000,1024,0,0,0.141,0.000,34.700,0.000,13.860,72086.000,28.240,0.000,69758.000,80000.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,13078528,1024,36.391,0.000,16765929746940610966,1469598103934665603
train,quantize,01_quantize_quantize1,stable_legal_topo,1,1,1,1,1,400,1278464,25,0,73,2.230,0.000,1024,0,0,0.142,0.000,40.700,0.000,13.860,71000.000,27.880,0.000,69992.000,60000.000,62.500,0.000,0.005,0.000,4276224,25,0,0,0,200,0,25,0,13135872,1224,110.472,0.000,16765929746940610966,5342268063401590554
train,quantize,01_quantize_quantize1,stable_dedup_off,1,1,1,1,1,424,1357312,25,0,73,1.427,0.000,1024,0,0,0.144,0.000,47.700,0.000,14.800,71176.000,26.980,200.000,70466.000,60000.000,62.500,0.000,0.005,0.000,4276224,25,0,0,0,200,0,25,0,13135872,1224,116.671,0.000,16765929746940610966,5342268063401590554
train,quantize,01_quantize_quantize1,stable_size_matched_capacity,1,1,1,1,1,400,1278464,25,0,73,2.337,33.333,616,0,1,0.142,0.000,40.600,0.000,13.660,72346.000,28.080,0.000,70704.000,80000.000,62.500,0.000,0.005,0.000,4276224,25,0,0,0,200,0,25,0,13135872,816,110.479,33.333,16765929746940610966,5342268063401590554
train,quantize,01_quantize_quantize1,hot_first_ready,1,1,1,1,1,408,1377024,25,0,73,2.427,0.000,1024,0,0,0.142,0.000,41.000,0.000,13.720,72146.000,27.020,0.000,70068.000,80000.000,62.500,0.000,0.005,0.000,4276224,25,0,0,0,200,0,25,0,13135872,1224,110.769,0.000,16765929746940610966,11108411112992920370
train,quantize,01_quantize_quantize1,local_field_order,1,1,1,1,1,400,1278464,25,0,73,2.283,0.000,1024,0,0,0.142,0.000,34.700,0.000,14.380,71798.000,28.020,0.000,70514.000,60000.000,62.500,0.000,0.003,0.000,4276224,25,0,0,0,200,0,25,0,13135872,1224,102.126,0.000,16765929746940610966,10840021880163052426
train,quantize,01_quantize_quantize1,generic_bounded_beam,1,1,1,1,1,408,1827584,25,0,73,2.177,0.000,1024,0,0,0.142,0.000,36.700,0.000,14.040,72044.000,27.200,200.000,70212.000,60000.000,62.500,0.000,2.391,3.000,4640768,200,1538,0,0,6656,0,25,0,13135872,7680,2492.219,3000.000,16765929746940610966,8531049897679802052
train,quantize,01_quantize_quantize1,fb_rcfdp_bounded,1,1,1,1,1,408,1821952,25,0,73,2.147,0.000,1024,0,0,0.166,5.000,35.300,0.000,13.760,72786.000,28.360,0.000,70172.000,80000.000,62.500,0.000,5.454,5.000,4730880,193,1538,27,27,6208,0,25,0,13135872,7232,5554.012,5005.000,16765929746940610966,14123931203845049066
train,leaky_relu,02_leaky_relu_leaky_relu0,generated_pack_default,1,1,1,1,1,856,1698048,32,0,0,2.263,0.000,1024,0,0,0.166,0.000,59.700,0.000,15.020,72358.000,28.740,0.000,70006.000,60000.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,13266944,1024,62.129,0.000,16651537719671144799,1469598103934665603
train,leaky_relu,02_leaky_relu_leaky_relu0,stable_legal_topo,1,1,1,1,1,872,3198976,32,0,93,3.043,0.000,1024,0,0,0.162,0.000,55.100,0.000,16.660,71786.000,28.340,200.000,70584.000,60000.000,107.600,0.000,0.005,0.000,4284416,32,0,0,0,256,0,32,0,13324288,1280,171.305,0.000,16651537719671144799,7338820247994720197
train,leaky_relu,02_leaky_relu_leaky_relu0,stable_dedup_off,1,1,1,1,1,896,3289088,32,0,93,2.143,0.000,1024,0,0,0.174,0.000,51.700,0.000,14.940,72494.000,28.720,0.000,70130.000,80000.000,107.600,0.000,0.005,0.000,4284416,32,0,0,0,256,0,32,0,13324288,1280,167.017,0.000,16651537719671144799,7338820247994720197
train,leaky_relu,02_leaky_relu_leaky_relu0,stable_size_matched_capacity,1,1,1,1,1,872,3198976,32,0,93,3.200,0.000,1312,0,1,0.164,0.000,48.800,0.000,15.020,71698.000,29.300,0.000,69674.000,80000.000,107.600,0.000,0.005,0.000,4284416,32,0,0,0,256,0,32,0,13336576,1568,165.164,0.000,16651537719671144799,7338820247994720197
train,leaky_relu,02_leaky_relu_leaky_relu0,hot_first_ready,1,1,1,1,1,872,3528448,32,0,93,3.187,0.000,1024,0,0,0.161,0.000,45.600,0.000,16.040,73132.000,27.820,0.000,68946.000,60000.000,107.600,0.000,0.009,0.000,4284416,32,0,0,0,256,0,32,0,13336576,1280,165.348,0.000,16651537719671144799,11713197329645419167
train,leaky_relu,02_leaky_relu_leaky_relu0,local_field_order,1,1,1,1,1,864,3173632,32,0,93,3.063,0.000,1024,0,0,0.161,0.000,48.700,0.000,14.840,71334.000,28.140,200.000,69826.000,60000.000,107.600,0.000,0.003,0.000,4284416,32,0,0,0,256,0,32,0,13336576,1280,162.725,0.000,16651537719671144799,7271634963684870539
train,leaky_relu,02_leaky_relu_leaky_relu0,generic_bounded_beam,1,1,1,1,1,888,5893888,32,0,93,3.223,33.333,1024,0,0,0.161,0.000,57.600,0.000,16.100,72064.000,28.500,0.000,70328.000,80000.000,107.600,0.000,4.760,5.000,4857856,256,2830,0,0,10944,0,32,0,13336576,11968,4928.584,5033.333,16651537719671144799,9967989675232051882
train,leaky_relu,02_leaky_relu_leaky_relu0,fb_rcfdp_bounded,1,1,1,1,1,888,5893888,32,0,93,3.070,0.000,1024,0,0,0.162,0.000,62.400,0.000,14.960,71694.000,28.260,0.000,70288.000,80000.000,107.600,0.000,11.428,11.000,5038080,249,2830,29,29,10496,0,32,0,13336576,11520,11601.332,11000.000,16651537719671144799,14134082833011767220
train,leaky_relu,03_leaky_relu_leaky_relu12,generated_pack_default,1,1,1,1,1,624,1377024,32,0,0,1.990,0.000,1024,0,0,0.158,0.000,47.200,0.000,14.540,69400.000,27.180,0.000,66156.000,80000.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,13287424,1024,49.348,0.000,12554223923102201017,1469598103934665603
train,leaky_relu,03_leaky_relu_leaky_relu12,stable_legal_topo,1,1,1,1,1,640,2387968,32,0,93,3.010,0.000,1024,0,0,0.157,0.000,57.400,0.000,14.220,68070.000,26.540,0.000,67410.000,60000.000,74.900,0.000,0.005,0.000,4288512,32,0,0,0,256,0,32,0,13316096,1280,140.867,0.000,12554223923102201017,7338820247994720197
train,leaky_relu,03_leaky_relu_leaky_relu12,stable_dedup_off,1,1,1,1,1,664,2478080,32,0,93,1.957,0.000,1024,0,0,0.161,0.000,47.900,0.000,14.780,71068.000,27.840,200.000,69932.000,60000.000,74.900,0.000,0.005,0.000,4288512,32,0,0,0,256,0,32,0,13316096,1280,130.317,0.000,12554223923102201017,7338820247994720197
train,leaky_relu,03_leaky_relu_leaky_relu12,stable_size_matched_capacity,1,1,1,1,1,640,2387968,32,0,93,2.890,0.000,960,0,1,0.160,5.000,46.500,0.000,14.780,71088.000,28.060,0.000,68948.000,80000.000,74.900,0.000,0.005,0.000,4288512,32,0,0,0,256,0,32,0,13316096,1216,129.849,5.000,12554223923102201017,7338820247994720197
train,leaky_relu,03_leaky_relu_leaky_relu12,hot_first_ready,1,1,1,1,1,640,2723072,32,0,93,2.747,0.000,1024,0,0,0.161,0.000,52.000,0.000,14.840,71444.000,28.180,0.000,69662.000,80000.000,74.900,0.000,0.009,0.000,4288512,32,0,0,0,256,0,32,0,13320192,1280,138.307,0.000,12554223923102201017,11713197329645419167
train,leaky_relu,03_leaky_relu_leaky_relu12,local_field_order,1,1,1,1,1,632,2362624,32,0,93,2.853,0.000,1024,0,0,0.163,0.000,56.600,0.000,15.940,71534.000,28.560,0.000,70338.000,60000.000,74.900,0.000,0.003,0.000,4288512,32,0,0,0,256,0,32,0,13324288,1280,137.616,0.000,12554223923102201017,7271634963684870539
train,leaky_relu,03_leaky_relu_leaky_relu12,generic_bounded_beam,1,1,1,1,1,648,3781888,32,0,93,2.763,0.000,1024,0,0,0.164,0.000,46.500,0.000,14.980,73552.000,28.640,0.000,70460.000,60000.000,74.900,0.000,4.296,4.000,4870144,256,2822,0,0,9024,0,32,0,13324288,10048,4420.827,4000.000,12554223923102201017,11682568396305527590
train,leaky_relu,03_leaky_relu_leaky_relu12,fb_rcfdp_bounded,1,1,1,1,1,648,3781888,32,0,93,2.853,0.000,1024,0,0,0.163,0.000,53.500,1000.000,15.660,72348.000,29.360,200.000,70644.000,60000.000,74.900,0.000,10.932,11.000,5062656,249,2822,29,29,8608,0,32,0,13324288,9632,11063.416,12000.000,12554223923102201017,340680833832684476
train,leaky_relu,04_leaky_relu_leaky_relu22,generated_pack_default,1,1,1,1,1,608,1343232,32,0,0,2.083,0.000,1024,0,0,0.164,0.000,51.600,0.000,15.060,72354.000,28.860,0.000,70302.000,60000.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,13275136,1024,53.848,0.000,2909210619804601163,1469598103934665603
train,leaky_relu,04_leaky_relu_leaky_relu22,stable_legal_topo,1,1,1,1,1,632,2356992,32,0,93,2.613,0.000,1024,0,0,0.163,0.000,54.600,0.000,15.060,72188.000,28.460,0.000,70932.000,60000.000,75.700,0.000,0.006,0.000,4284416,32,0,0,0,256,0,32,0,13340672,1280,138.676,0.000,2909210619804601163,7338820247994720197
train,leaky_relu,04_leaky_relu_leaky_relu22,stable_dedup_off,1,1,1,1,1,656,2447104,32,0,93,1.897,0.000,1024,0,0,0.164,0.000,56.800,0.000,15.060,71482.000,28.440,200.000,70040.000,60000.000,75.700,0.000,0.006,0.000,4284416,32,0,0,0,256,0,32,0,13340672,1280,140.161,0.000,2909210619804601163,7338820247994720197
train,leaky_relu,04_leaky_relu_leaky_relu22,stable_size_matched_capacity,1,1,1,1,1,632,2356992,32,0,93,2.723,0.000,936,0,1,0.163,0.000,42.800,0.000,15.040,71558.000,28.360,0.000,70468.000,80000.000,75.700,0.000,0.006,0.000,4284416,32,0,0,0,256,0,32,0,13340672,1192,126.986,0.000,2909210619804601163,7338820247994720197
train,leaky_relu,04_leaky_relu_leaky_relu22,hot_first_ready,1,1,1,1,1,624,2644224,32,0,93,2.740,0.000,1024,0,0,0.163,0.000,44.100,0.000,14.820,70970.000,27.920,0.000,69296.000,60000.000,75.700,0.000,0.008,0.000,4284416,32,0,0,0,256,0,32,0,13340672,1280,131.102,0.000,2909210619804601163,11713197329645419167
train,leaky_relu,04_leaky_relu_leaky_relu22,local_field_order,1,1,1,1,1,624,2331648,32,0,93,2.680,0.000,1024,0,0,0.162,0.000,40.300,0.000,14.840,71562.000,28.220,0.000,69074.000,60000.000,75.700,0.000,0.003,0.000,4284416,32,0,0,0,256,0,32,0,13340672,1280,121.842,0.000,2909210619804601163,7271634963684870539
