model,split,family,arm,on_frontier,dominates_candidate
00_quantize_quantize0,train,quantize,generated_pack_default,1,1
00_quantize_quantize0,train,quantize,stable_legal_topo,1,0
00_quantize_quantize0,train,quantize,stable_dedup_off,0,0
00_quantize_quantize0,train,quantize,stable_size_matched_capacity,1,0
00_quantize_quantize0,train,quantize,hot_first_ready,1,0
00_quantize_quantize0,train,quantize,local_field_order,1,0
00_quantize_quantize0,train,quantize,generic_bounded_beam,1,0
00_quantize_quantize0,train,quantize,fb_rcfdp_bounded,0,0
01_quantize_quantize1,train,quantize,generated_pack_default,1,1
01_quantize_quantize1,train,quantize,stable_legal_topo,1,1
01_quantize_quantize1,train,quantize,stable_dedup_off,1,0
01_quantize_quantize1,train,quantize,stable_size_matched_capacity,1,0
01_quantize_quantize1,train,quantize,hot_first_ready,1,1
01_quantize_quantize1,train,quantize,local_field_order,1,0
01_quantize_quantize1,train,quantize,generic_bounded_beam,1,0
01_quantize_quantize1,train,quantize,fb_rcfdp_bounded,0,0
02_leaky_relu_leaky_relu0,train,leaky_relu,generated_pack_default,1,0
02_leaky_relu_leaky_relu0,train,leaky_relu,stable_legal_topo,1,0
02_leaky_relu_leaky_relu0,train,leaky_relu,stable_dedup_off,1,0
02_leaky_relu_leaky_relu0,train,leaky_relu,stable_size_matched_capacity,1,0
02_leaky_relu_leaky_relu0,train,leaky_relu,hot_first_ready,1,1
02_leaky_relu_leaky_relu0,train,leaky_relu,local_field_order,1,0
02_leaky_relu_leaky_relu0,train,leaky_relu,generic_bounded_beam,0,0
02_leaky_relu_leaky_relu0,train,leaky_relu,fb_rcfdp_bounded,0,0
03_leaky_relu_leaky_relu12,train,leaky_relu,generated_pack_default,1,0
03_leaky_relu_leaky_relu12,train,leaky_relu,stable_legal_topo,1,1
03_leaky_relu_leaky_relu12,train,leaky_relu,stable_dedup_off,1,0
03_leaky_relu_leaky_relu12,train,leaky_relu,stable_size_matched_capacity,0,0
03_leaky_relu_leaky_relu12,train,leaky_relu,hot_first_ready,0,0
03_leaky_relu_leaky_relu12,train,leaky_relu,local_field_order,1,1
03_leaky_relu_leaky_relu12,train,leaky_relu,generic_bounded_beam,0,0
03_leaky_relu_leaky_relu12,train,leaky_relu,fb_rcfdp_bounded,0,0
04_leaky_relu_leaky_relu22,train,leaky_relu,generated_pack_default,1,0
04_leaky_relu_leaky_relu22,train,leaky_relu,stable_legal_topo,0,0
04_leaky_relu_leaky_relu22,train,leaky_relu,stable_dedup_off,0,0
04_leaky_relu_leaky_relu22,train,leaky_relu,stable_size_matched_capacity,1,0
