model,split,family,candidate_on_full_cost_frontier,candidate_full_cost_dominators,frontier_arms,candidate_fallback,candidate_useful_residual_actions,candidate_plan_transitions,candidate_bytes,union_best_bytes,bytes_delta,bytes_delta_pct,candidate_trace_warm,union_best_trace_warm,trace_warm_delta,trace_warm_delta_pct,candidate_trace_cold,union_best_trace_cold,trace_cold_delta,trace_cold_delta_pct
00_quantize_quantize0,train,quantize,0,generated_pack_default,generated_pack_default;generic_bounded_beam;hot_first_ready;local_field_order;stable_legal_topo;stable_size_matched_capacity,0,0,25,408.0,400.0,8.0,2.0,26.96,26.84,0.120000000000001,0.4470938897168443,70840.0,69824.0,1016.0,1.4550870760769936
01_quantize_quantize1,train,quantize,0,generated_pack_default;hot_first_ready;stable_legal_topo,generated_pack_default;generic_bounded_beam;hot_first_ready;local_field_order;stable_dedup_off;stable_legal_topo;stable_size_matched_capacity,0,0,25,408.0,400.0,8.0,2.0,28.36,26.98,1.379999999999999,5.114899925871011,70172.0,69758.0,414.0,0.5934803176696579
02_leaky_relu_leaky_relu0,train,leaky_relu,0,hot_first_ready,generated_pack_default;hot_first_ready;local_field_order;stable_dedup_off;stable_legal_topo;stable_size_matched_capacity,0,0,32,888.0,856.0,32.0,3.7383177570093458,28.26,27.82,0.4400000000000013,1.5815959741193433,70288.0,68946.0,1342.0,1.9464508455893017
03_leaky_relu_leaky_relu12,train,leaky_relu,0,local_field_order;stable_legal_topo,generated_pack_default;local_field_order;stable_dedup_off;stable_legal_topo,0,0,32,648.0,624.0,24.0,3.8461538461538463,29.36,26.54,2.8200000000000003,10.625470987189148,70644.0,66156.0,4488.0,6.783965173226918
04_leaky_relu_leaky_relu22,train,leaky_relu,1,,fb_rcfdp_bounded;generated_pack_default;hot_first_ready;local_field_order;stable_size_matched_capacity,0,0,32,632.0,608.0,24.0,3.9473684210526314,28.04,27.92,0.11999999999999744,0.42979942693408824,68582.0,69074.0,-492.0,-0.7122795842140314
05_pad_pad0,train,pad,1,,fb_rcfdp_bounded;generated_pack_default;generic_bounded_beam;hot_first_ready;local_field_order;stable_dedup_off;stable_legal_topo;stable_size_matched_capacity,0,0,38,800.0,784.0,16.0,2.0408163265306123,28.28,28.14,0.14000000000000057,0.4975124378109473,68556.0,68782.0,-226.0,-0.328574336308918
06_pad_pad10,train,pad,1,,fb_rcfdp_bounded;generated_pack_default;generic_bounded_beam;hot_first_ready;local_field_order;stable_dedup_off;stable_legal_topo;stable_size_matched_capacity,0,0,38,848.0,832.0,16.0,1.9230769230769231,28.52,27.98,0.5399999999999991,1.9299499642601827,69750.0,68250.0,1500.0,2.197802197802198
07_pad_pad18,train,pad,1,,fb_rcfdp_bounded;generated_pack_default;generic_bounded_beam;local_field_order;stable_dedup_off;stable_legal_topo,0,0,38,832.0,816.0,16.0,1.9607843137254901,28.22,28.02,0.1999999999999993,0.7137758743754435,68754.0,68112.0,642.0,0.9425651867512332
08_add_add0,train,add,0,generated_pack_default,generated_pack_default;generic_bounded_beam;hot_first_ready;local_field_order;stable_dedup_off;stable_legal_topo;stable_size_matched_capacity,0,0,41,1296.0,1288.0,8.0,0.6211180124223602,27.64,27.42,0.21999999999999886,0.8023340627279316,68612.0,67886.0,726.0,1.0694399434345816
09_add_add1,train,add,1,,fb_rcfdp_bounded;generated_pack_default;generic_bounded_beam;hot_first_ready;local_field_order;stable_dedup_off;stable_size_matched_capacity,0,0,41,1008.0,1000.0,8.0,0.8,27.5,27.28,0.21999999999999886,0.8064516129032216,68944.0,67748.0,1196.0,1.765365767255122
