endpoint_id	reflection_key	generated_reader_accessor	planner_role
tflite.Model.version	tflite.Model.version	Model::version	edge_or_field_access_weight
tflite.Model.description	tflite.Model.description	Model::description	edge_or_field_access_weight
tflite.Model.subgraphs	tflite.Model.subgraphs	Model::subgraphs	edge_or_field_access_weight
tflite.Model.operator_codes	tflite.Model.operator_codes	Model::operator_codes	edge_or_field_access_weight
tflite.Model.buffers	tflite.Model.buffers	Model::buffers	edge_or_field_access_weight
tflite.SubGraph.name	tflite.SubGraph.name	SubGraph::name	edge_or_field_access_weight
tflite.SubGraph.inputs	tflite.SubGraph.inputs	SubGraph::inputs	edge_or_field_access_weight
tflite.SubGraph.outputs	tflite.SubGraph.outputs	SubGraph::outputs	edge_or_field_access_weight
tflite.SubGraph.tensors	tflite.SubGraph.tensors	SubGraph::tensors	edge_or_field_access_weight
tflite.SubGraph.operators	tflite.SubGraph.operators	SubGraph::operators	edge_or_field_access_weight
tflite.Tensor.shape	tflite.Tensor.shape	Tensor::shape	edge_or_field_access_weight
tflite.Tensor.type	tflite.Tensor.type	Tensor::type	edge_or_field_access_weight
tflite.Tensor.buffer	tflite.Tensor.buffer	Tensor::buffer	edge_or_field_access_weight
tflite.Tensor.name	tflite.Tensor.name	Tensor::name	edge_or_field_access_weight
tflite.Tensor.quantization	tflite.Tensor.quantization	Tensor::quantization	edge_or_field_access_weight
tflite.Tensor.is_variable	tflite.Tensor.is_variable	Tensor::is_variable	edge_or_field_access_weight
tflite.Tensor.shape_signature	tflite.Tensor.shape_signature	Tensor::shape_signature	edge_or_field_access_weight
tflite.Tensor.has_rank	tflite.Tensor.has_rank	Tensor::has_rank	edge_or_field_access_weight
tflite.Operator.opcode_index	tflite.Operator.opcode_index	Operator::opcode_index	edge_or_field_access_weight
tflite.Operator.inputs	tflite.Operator.inputs	Operator::inputs	edge_or_field_access_weight
tflite.Operator.outputs	tflite.Operator.outputs	Operator::outputs	edge_or_field_access_weight
tflite.Operator.builtin_options_type	tflite.Operator.builtin_options_type	Operator::builtin_options_type	edge_or_field_access_weight
tflite.Operator.builtin_options	tflite.Operator.builtin_options	Operator::builtin_options	edge_or_field_access_weight
tflite.Operator.custom_options	tflite.Operator.custom_options	Operator::custom_options	edge_or_field_access_weight
tflite.Operator.custom_options_format	tflite.Operator.custom_options_format	Operator::custom_options_format	edge_or_field_access_weight
tflite.Operator.mutating_variable_inputs	tflite.Operator.mutating_variable_inputs	Operator::mutating_variable_inputs	edge_or_field_access_weight
tflite.Operator.intermediates	tflite.Operator.intermediates	Operator::intermediates	edge_or_field_access_weight
tflite.OperatorCode.deprecated_builtin_code	tflite.OperatorCode.deprecated_builtin_code	OperatorCode::deprecated_builtin_code	edge_or_field_access_weight
tflite.OperatorCode.custom_code	tflite.OperatorCode.custom_code	OperatorCode::custom_code	edge_or_field_access_weight
tflite.OperatorCode.version	tflite.OperatorCode.version	OperatorCode::version	edge_or_field_access_weight
tflite.OperatorCode.builtin_code	tflite.OperatorCode.builtin_code	OperatorCode::builtin_code	edge_or_field_access_weight
tflite.Buffer.data	tflite.Buffer.data	Buffer::data	edge_or_field_access_weight
tflite.Buffer.offset	tflite.Buffer.offset	Buffer::offset	edge_or_field_access_weight
tflite.Buffer.size	tflite.Buffer.size	Buffer::size	edge_or_field_access_weight
