endpoint_id	reflection_key	event_count	planner_weight
tflite.Model.version	tflite.Model.version	704	704
tflite.Model.description	tflite.Model.description	704	704
tflite.Model.subgraphs	tflite.Model.subgraphs	704	704
tflite.Model.operator_codes	tflite.Model.operator_codes	704	704
tflite.Model.buffers	tflite.Model.buffers	704	704
tflite.SubGraph.name	tflite.SubGraph.name	704	704
tflite.SubGraph.inputs	tflite.SubGraph.inputs	704	704
tflite.SubGraph.outputs	tflite.SubGraph.outputs	704	704
tflite.SubGraph.tensors	tflite.SubGraph.tensors	704	704
tflite.SubGraph.operators	tflite.SubGraph.operators	704	704
tflite.Tensor.shape	tflite.Tensor.shape	704	704
tflite.Tensor.type	tflite.Tensor.type	704	704
tflite.Tensor.buffer	tflite.Tensor.buffer	704	704
tflite.Tensor.name	tflite.Tensor.name	704	704
tflite.Tensor.quantization	tflite.Tensor.quantization	704	704
tflite.Tensor.is_variable	tflite.Tensor.is_variable	704	704
tflite.Tensor.shape_signature	tflite.Tensor.shape_signature	704	704
tflite.Tensor.has_rank	tflite.Tensor.has_rank	704	704
tflite.Operator.opcode_index	tflite.Operator.opcode_index	704	704
tflite.Operator.inputs	tflite.Operator.inputs	704	704
tflite.Operator.outputs	tflite.Operator.outputs	704	704
tflite.Operator.builtin_options_type	tflite.Operator.builtin_options_type	704	704
tflite.Operator.builtin_options	tflite.Operator.builtin_options	704	704
tflite.Operator.custom_options	tflite.Operator.custom_options	704	704
tflite.Operator.custom_options_format	tflite.Operator.custom_options_format	704	704
tflite.Operator.mutating_variable_inputs	tflite.Operator.mutating_variable_inputs	704	704
tflite.Operator.intermediates	tflite.Operator.intermediates	704	704
tflite.OperatorCode.deprecated_builtin_code	tflite.OperatorCode.deprecated_builtin_code	704	704
tflite.OperatorCode.custom_code	tflite.OperatorCode.custom_code	704	704
tflite.OperatorCode.version	tflite.OperatorCode.version	704	704
tflite.OperatorCode.builtin_code	tflite.OperatorCode.builtin_code	704	704
tflite.Buffer.data	tflite.Buffer.data	704	704
tflite.Buffer.offset	tflite.Buffer.offset	704	704
tflite.Buffer.size	tflite.Buffer.size	704	704
