global_event_ordinal	model	request_ordinal	seed	event_ordinal	endpoint_id	selector
0	00_quantize_quantize0	0	0	0	tflite.Model.version	root
1	00_quantize_quantize0	0	0	1	tflite.Model.description	root
2	00_quantize_quantize0	0	0	2	tflite.Model.subgraphs	root
3	00_quantize_quantize0	0	0	3	tflite.Model.operator_codes	root
4	00_quantize_quantize0	0	0	4	tflite.Model.buffers	root
5	00_quantize_quantize0	0	0	5	tflite.SubGraph.name	sg=0
6	00_quantize_quantize0	0	0	6	tflite.SubGraph.inputs	sg=0
7	00_quantize_quantize0	0	0	7	tflite.SubGraph.outputs	sg=0
8	00_quantize_quantize0	0	0	8	tflite.SubGraph.tensors	sg=0
9	00_quantize_quantize0	0	0	9	tflite.SubGraph.operators	sg=0
10	00_quantize_quantize0	0	0	10	tflite.Tensor.shape	sg=0;tensor=0
11	00_quantize_quantize0	0	0	11	tflite.Tensor.type	sg=0;tensor=0
12	00_quantize_quantize0	0	0	12	tflite.Tensor.buffer	sg=0;tensor=0
13	00_quantize_quantize0	0	0	13	tflite.Tensor.name	sg=0;tensor=0
14	00_quantize_quantize0	0	0	14	tflite.Tensor.quantization	sg=0;tensor=0
15	00_quantize_quantize0	0	0	15	tflite.Tensor.is_variable	sg=0;tensor=0
16	00_quantize_quantize0	0	0	16	tflite.Tensor.shape_signature	sg=0;tensor=0
17	00_quantize_quantize0	0	0	17	tflite.Tensor.has_rank	sg=0;tensor=0
18	00_quantize_quantize0	0	0	18	tflite.Operator.opcode_index	sg=0;operator=0
19	00_quantize_quantize0	0	0	19	tflite.Operator.inputs	sg=0;operator=0
20	00_quantize_quantize0	0	0	20	tflite.Operator.outputs	sg=0;operator=0
21	00_quantize_quantize0	0	0	21	tflite.Operator.builtin_options_type	sg=0;operator=0
22	00_quantize_quantize0	0	0	22	tflite.Operator.builtin_options	sg=0;operator=0
23	00_quantize_quantize0	0	0	23	tflite.Operator.custom_options	sg=0;operator=0
24	00_quantize_quantize0	0	0	24	tflite.Operator.custom_options_format	sg=0;operator=0
25	00_quantize_quantize0	0	0	25	tflite.Operator.mutating_variable_inputs	sg=0;operator=0
26	00_quantize_quantize0	0	0	26	tflite.Operator.intermediates	sg=0;operator=0
27	00_quantize_quantize0	0	0	27	tflite.OperatorCode.deprecated_builtin_code	opcode=0
28	00_quantize_quantize0	0	0	28	tflite.OperatorCode.custom_code	opcode=0
29	00_quantize_quantize0	0	0	29	tflite.OperatorCode.version	opcode=0
30	00_quantize_quantize0	0	0	30	tflite.OperatorCode.builtin_code	opcode=0
31	00_quantize_quantize0	0	0	31	tflite.Buffer.data	buffer=0
32	00_quantize_quantize0	0	0	32	tflite.Buffer.offset	buffer=0
33	00_quantize_quantize0	0	0	33	tflite.Buffer.size	buffer=0
34	00_quantize_quantize0	1	1	0	tflite.Model.version	root
35	00_quantize_quantize0	1	1	1	tflite.Model.description	root
36	00_quantize_quantize0	1	1	2	tflite.Model.subgraphs	root
37	00_quantize_quantize0	1	1	3	tflite.Model.operator_codes	root
38	00_quantize_quantize0	1	1	4	tflite.Model.buffers	root
39	00_quantize_quantize0	1	1	5	tflite.SubGraph.name	sg=0
40	00_quantize_quantize0	1	1	6	tflite.SubGraph.inputs	sg=0
41	00_quantize_quantize0	1	1	7	tflite.SubGraph.outputs	sg=0
42	00_quantize_quantize0	1	1	8	tflite.SubGraph.tensors	sg=0
