version	path	line	kind	context	source
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	188	RECORD_EMIT	BitcodeWriterBase::writeModuleVersion	Stream.EmitRecord(bitc::MODULE_CODE_VERSION, ArrayRef<uint64_t>{2});
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	754	RECORD_EMIT	BitCodeAbbrevOp::isChar6	Stream.EmitRecord(Code, Vals, AbbrevToUse);
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	1012	BLOCK_ENTER	ModuleBitcodeWriter::writeAttributeGroupTable	Stream.EnterSubblock(bitc::PARAMATTR_GROUP_BLOCK_ID, 3);
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	1070	RECORD_EMIT	UNRESOLVED_CONTEXT	Stream.EmitRecord(bitc::PARAMATTR_GRP_CODE_ENTRY, Record);
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	1081	BLOCK_ENTER	ModuleBitcodeWriter::writeAttributeTable	Stream.EnterSubblock(bitc::PARAMATTR_BLOCK_ID, 3);
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	1091	RECORD_EMIT	UNRESOLVED_CONTEXT	Stream.EmitRecord(bitc::PARAMATTR_CODE_ENTRY, Record);
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	1102	BLOCK_ENTER	ModuleBitcodeWriter::writeTypeTable	Stream.EnterSubblock(bitc::TYPE_BLOCK_ID_NEW, 4 /*count from # abbrevs */);
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	1111	LOCAL_ABBREV_DEFINE	std::move	unsigned OpaquePtrAbbrev = Stream.EmitAbbrev(std::move(Abbv));
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	1119	LOCAL_ABBREV_DEFINE	std::move	unsigned FunctionAbbrev = Stream.EmitAbbrev(std::move(Abbv));
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	1127	LOCAL_ABBREV_DEFINE	std::move	unsigned StructAnonAbbrev = Stream.EmitAbbrev(std::move(Abbv));
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	1134	LOCAL_ABBREV_DEFINE	std::move	unsigned StructNameAbbrev = Stream.EmitAbbrev(std::move(Abbv));
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	1142	LOCAL_ABBREV_DEFINE	std::move	unsigned StructNamedAbbrev = Stream.EmitAbbrev(std::move(Abbv));
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	1149	LOCAL_ABBREV_DEFINE	std::move	unsigned ArrayAbbrev = Stream.EmitAbbrev(std::move(Abbv));
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	1153	RECORD_EMIT	std::move	Stream.EmitRecord(bitc::TYPE_CODE_NUMENTRY, TypeVals);
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	1265	RECORD_EMIT	UNRESOLVED_CONTEXT	Stream.EmitRecord(Code, TypeVals, AbbrevToUse);
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	1434	RECORD_EMIT	ModuleBitcodeWriter::writeComdats	Stream.EmitRecord(bitc::MODULE_CODE_COMDAT, Vals, /*AbbrevToUse=*/0);
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	1453	LOCAL_ABBREV_DEFINE	std::move	unsigned VSTOffsetAbbrev = Stream.EmitAbbrev(std::move(Abbv));
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	1457	RECORD_WITH_EXPLICIT_ABBREV	std::move	Stream.EmitRecordWithAbbrev(VSTOffsetAbbrev, Vals);
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	1574	LOCAL_ABBREV_DEFINE	std::move	SimpleGVarAbbrev = Stream.EmitAbbrev(std::move(Abbv));
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	1592	LOCAL_ABBREV_DEFINE	std::move	unsigned FilenameAbbrev = Stream.EmitAbbrev(std::move(Abbv));
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	1598	RECORD_EMIT	std::move	Stream.EmitRecord(bitc::MODULE_CODE_SOURCE_FILENAME, Vals, FilenameAbbrev);
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	1649	RECORD_EMIT	UNRESOLVED_CONTEXT	Stream.EmitRecord(bitc::MODULE_CODE_GLOBALVAR, Vals, AbbrevToUse);
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	1687	RECORD_EMIT	UNRESOLVED_CONTEXT	Stream.EmitRecord(bitc::MODULE_CODE_FUNCTION, Vals, AbbrevToUse);
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	1711	RECORD_EMIT	UNRESOLVED_CONTEXT	Stream.EmitRecord(bitc::MODULE_CODE_ALIAS, Vals, AbbrevToUse);
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	1729	RECORD_EMIT	UNRESOLVED_CONTEXT	Stream.EmitRecord(bitc::MODULE_CODE_IFUNC, Vals);
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	1794	RECORD_EMIT	ModuleBitcodeWriter::writeValueAsMetadata	Stream.EmitRecord(bitc::METADATA_VALUE, Record, 0);
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	1807	RECORD_EMIT	UNRESOLVED_CONTEXT	Stream.EmitRecord(N->isDistinct() ? bitc::METADATA_DISTINCT_NODE
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	1826	LOCAL_ABBREV_DEFINE	std::move	return Stream.EmitAbbrev(std::move(Abbv));
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	1843	RECORD_EMIT	UNRESOLVED_CONTEXT	Stream.EmitRecord(bitc::METADATA_LOCATION, Record, Abbrev);
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	1858	LOCAL_ABBREV_DEFINE	std::move	return Stream.EmitAbbrev(std::move(Abbv));
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	1874	RECORD_EMIT	UNRESOLVED_CONTEXT	Stream.EmitRecord(bitc::METADATA_GENERIC_DEBUG, Record, Abbrev);
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	1888	RECORD_EMIT	UNRESOLVED_CONTEXT	Stream.EmitRecord(bitc::METADATA_SUBRANGE, Record, Abbrev);
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	1901	RECORD_EMIT	UNRESOLVED_CONTEXT	Stream.EmitRecord(bitc::METADATA_GENERIC_SUBRANGE, Record, Abbrev);
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	1914	RECORD_EMIT	UNRESOLVED_CONTEXT	Stream.EmitRecord(bitc::METADATA_ENUMERATOR, Record, Abbrev);
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	1932	RECORD_EMIT	UNRESOLVED_CONTEXT	Stream.EmitRecord(bitc::METADATA_BASIC_TYPE, Record, Abbrev);
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	1962	RECORD_EMIT	UNRESOLVED_CONTEXT	Stream.EmitRecord(bitc::METADATA_FIXED_POINT_TYPE, Record, Abbrev);
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	1980	RECORD_EMIT	UNRESOLVED_CONTEXT	Stream.EmitRecord(bitc::METADATA_STRING_TYPE, Record, Abbrev);
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	2015	RECORD_EMIT	UNRESOLVED_CONTEXT	Stream.EmitRecord(bitc::METADATA_DERIVED_TYPE, Record, Abbrev);
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	2037	RECORD_EMIT	UNRESOLVED_CONTEXT	Stream.EmitRecord(bitc::METADATA_SUBRANGE_TYPE, Record, Abbrev);
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	2075	RECORD_EMIT	UNRESOLVED_CONTEXT	Stream.EmitRecord(bitc::METADATA_COMPOSITE_TYPE, Record, Abbrev);
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	2088	RECORD_EMIT	UNRESOLVED_CONTEXT	Stream.EmitRecord(bitc::METADATA_SUBROUTINE_TYPE, Record, Abbrev);
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	2111	RECORD_EMIT	UNRESOLVED_CONTEXT	Stream.EmitRecord(bitc::METADATA_FILE, Record, Abbrev);
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	2150	RECORD_EMIT	UNRESOLVED_CONTEXT	Stream.EmitRecord(bitc::METADATA_COMPILE_UNIT, Record, Abbrev);
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	2181	RECORD_EMIT	UNRESOLVED_CONTEXT	Stream.EmitRecord(bitc::METADATA_SUBPROGRAM, Record, Abbrev);
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	2194	RECORD_EMIT	UNRESOLVED_CONTEXT	Stream.EmitRecord(bitc::METADATA_LEXICAL_BLOCK, Record, Abbrev);
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	2206	RECORD_EMIT	UNRESOLVED_CONTEXT	Stream.EmitRecord(bitc::METADATA_LEXICAL_BLOCK_FILE, Record, Abbrev);
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	2220	RECORD_EMIT	UNRESOLVED_CONTEXT	Stream.EmitRecord(bitc::METADATA_COMMON_BLOCK, Record, Abbrev);
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	2231	RECORD_EMIT	ModuleBitcodeWriter::writeDINamespace	Stream.EmitRecord(bitc::METADATA_NAMESPACE, Record, Abbrev);
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	2244	RECORD_EMIT	UNRESOLVED_CONTEXT	Stream.EmitRecord(bitc::METADATA_MACRO, Record, Abbrev);
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	2257	RECORD_EMIT	UNRESOLVED_CONTEXT	Stream.EmitRecord(bitc::METADATA_MACRO_FILE, Record, Abbrev);
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	2267	RECORD_EMIT	ModuleBitcodeWriter::writeDIArgList	Stream.EmitRecord(bitc::METADATA_ARG_LIST, Record);
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	2280	RECORD_EMIT	UNRESOLVED_CONTEXT	Stream.EmitRecord(bitc::METADATA_MODULE, Record, Abbrev);
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	2289	RECORD_EMIT	ModuleBitcodeWriter::writeDIAssignID	Stream.EmitRecord(bitc::METADATA_ASSIGN_ID, Record, Abbrev);
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	2301	RECORD_EMIT	UNRESOLVED_CONTEXT	Stream.EmitRecord(bitc::METADATA_TEMPLATE_TYPE, Record, Abbrev);
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	2315	RECORD_EMIT	UNRESOLVED_CONTEXT	Stream.EmitRecord(bitc::METADATA_TEMPLATE_VALUE, Record, Abbrev);
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	2337	RECORD_EMIT	UNRESOLVED_CONTEXT	Stream.EmitRecord(bitc::METADATA_GLOBAL_VAR, Record, Abbrev);
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	2369	RECORD_EMIT	UNRESOLVED_CONTEXT	Stream.EmitRecord(bitc::METADATA_LOCAL_VAR, Record, Abbrev);
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	2387	RECORD_EMIT	UNRESOLVED_CONTEXT	Stream.EmitRecord(bitc::METADATA_LABEL, Record, Abbrev);
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	2399	RECORD_EMIT	UNRESOLVED_CONTEXT	Stream.EmitRecord(bitc::METADATA_EXPRESSION, Record, Abbrev);
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	2410	RECORD_EMIT	ModuleBitcodeWriter::writeDIGlobalVariableExpression	Stream.EmitRecord(bitc::METADATA_GLOBAL_VAR_EXPR, Record, Abbrev);
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	2426	RECORD_EMIT	UNRESOLVED_CONTEXT	Stream.EmitRecord(bitc::METADATA_OBJC_PROPERTY, Record, Abbrev);
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	2442	RECORD_EMIT	UNRESOLVED_CONTEXT	Stream.EmitRecord(bitc::METADATA_IMPORTED_ENTITY, Record, Abbrev);
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	2451	LOCAL_ABBREV_DEFINE	std::move	return Stream.EmitAbbrev(std::move(Abbv));
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	2464	RECORD_EMIT	UNRESOLVED_CONTEXT	Stream.EmitRecord(bitc::METADATA_NAME, Record, Abbrev);
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	2470	RECORD_EMIT	UNRESOLVED_CONTEXT	Stream.EmitRecord(bitc::METADATA_NAMED_NODE, Record, 0);
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	2481	LOCAL_ABBREV_DEFINE	std::move	return Stream.EmitAbbrev(std::move(Abbv));
