file	source_sha256	replay1_union_sha256	replay1_candidate_sha256	replay2_union_sha256	replay2_candidate_sha256
green_tripdata_2024-01.parquet	1512A953BED564AC68DCB622827424DFB4F68AD93C2A4572E50EF6AB0B09C1AD	FCADC8B15D2F5FDDE2D561E61BAA924F8903B01228D51119D484AC15B3F4D068	FCADC8B15D2F5FDDE2D561E61BAA924F8903B01228D51119D484AC15B3F4D068	FCADC8B15D2F5FDDE2D561E61BAA924F8903B01228D51119D484AC15B3F4D068	FCADC8B15D2F5FDDE2D561E61BAA924F8903B01228D51119D484AC15B3F4D068
green_tripdata_2024-02.parquet	CB7EB405EE7E795C9FD6B8AD1B291F46F4E0A1CD60A57067B0AACA2420E8BC5D	14D3FA7BEC7763AF93BDB2587163917B8C9C67F3A70FE77B11FDEF235196B96A	14D3FA7BEC7763AF93BDB2587163917B8C9C67F3A70FE77B11FDEF235196B96A	14D3FA7BEC7763AF93BDB2587163917B8C9C67F3A70FE77B11FDEF235196B96A	14D3FA7BEC7763AF93BDB2587163917B8C9C67F3A70FE77B11FDEF235196B96A
green_tripdata_2024-03.parquet	43DEDD66DD556ACFC38DA679A174B6ADC32E01DD6DCCAD14BDFDF1521A14ABED	DA1A639344DF89C7DC10A2F24A969329445DFFE979A6865A79E388BD2EC1DBB3	DA1A639344DF89C7DC10A2F24A969329445DFFE979A6865A79E388BD2EC1DBB3	DA1A639344DF89C7DC10A2F24A969329445DFFE979A6865A79E388BD2EC1DBB3	DA1A639344DF89C7DC10A2F24A969329445DFFE979A6865A79E388BD2EC1DBB3
green_tripdata_2024-04.parquet	AF174977258A02F8F44C37534ABC9A8B4EAA5EC6D2F9C2BC49782327628B608C	2AB075F0425B70CC8B0402A8BB0A0C1EC347E6E3D7D3ECC552C79E7CD9B5C960	2AB075F0425B70CC8B0402A8BB0A0C1EC347E6E3D7D3ECC552C79E7CD9B5C960	2AB075F0425B70CC8B0402A8BB0A0C1EC347E6E3D7D3ECC552C79E7CD9B5C960	2AB075F0425B70CC8B0402A8BB0A0C1EC347E6E3D7D3ECC552C79E7CD9B5C960
green_tripdata_2024-05.parquet	AA8B1965ED36F0BDA1B342930D5E6F5A89F8FE56D0C6C6D77D9C156B408AA0EA	3AA7FFF3D7D38C77EADF621A5F28FD30A0B5F2DFFF0696E445F1AA766F083C82	3AA7FFF3D7D38C77EADF621A5F28FD30A0B5F2DFFF0696E445F1AA766F083C82	3AA7FFF3D7D38C77EADF621A5F28FD30A0B5F2DFFF0696E445F1AA766F083C82	3AA7FFF3D7D38C77EADF621A5F28FD30A0B5F2DFFF0696E445F1AA766F083C82
green_tripdata_2024-06.parquet	47E7C37DD39069C474364AEE3D76C9DDC887A3F714E9BB550B5866FE0B89B9CD	9624EE76FB0BC34D255C5FC8C5145B7F9AC57C42CF12B44A363D689A4B517333	9624EE76FB0BC34D255C5FC8C5145B7F9AC57C42CF12B44A363D689A4B517333	9624EE76FB0BC34D255C5FC8C5145B7F9AC57C42CF12B44A363D689A4B517333	9624EE76FB0BC34D255C5FC8C5145B7F9AC57C42CF12B44A363D689A4B517333
green_tripdata_2024-07.parquet	CE0D7591316050BEA21DA49E383EB733411E98AE17E114AFCC7FBE4B36B116F2	24D89905215EB22EF7E4B324BB27B6F93D2DE29E3B8182C9CF3C53508733A3F2	24D89905215EB22EF7E4B324BB27B6F93D2DE29E3B8182C9CF3C53508733A3F2	24D89905215EB22EF7E4B324BB27B6F93D2DE29E3B8182C9CF3C53508733A3F2	24D89905215EB22EF7E4B324BB27B6F93D2DE29E3B8182C9CF3C53508733A3F2
green_tripdata_2024-08.parquet	733210FB27CBE8CF8B0AD9F5D6FFF03DFAFCC8FF7C2BEB1C1B707825D72F0376	484E20D34695B718A1820C727A6DF24BBAF3B94DD8CB51D4F64C05CF5A2FCCDC	484E20D34695B718A1820C727A6DF24BBAF3B94DD8CB51D4F64C05CF5A2FCCDC	484E20D34695B718A1820C727A6DF24BBAF3B94DD8CB51D4F64C05CF5A2FCCDC	484E20D34695B718A1820C727A6DF24BBAF3B94DD8CB51D4F64C05CF5A2FCCDC
green_tripdata_2024-09.parquet	8F6AA8F3E8A2040FC161C7FBCB60E5418238B27E7E95998363572A4C977B69CE	32EE12EFA923BE8044F6F58A0D5C34F856C08C969001D3BF51278FB7D86C677D	32EE12EFA923BE8044F6F58A0D5C34F856C08C969001D3BF51278FB7D86C677D	32EE12EFA923BE8044F6F58A0D5C34F856C08C969001D3BF51278FB7D86C677D	32EE12EFA923BE8044F6F58A0D5C34F856C08C969001D3BF51278FB7D86C677D
green_tripdata_2024-10.parquet	6E737B7C4EDAC91F865AA210F7110D0118A9992B3A96720936E090277C24EDAA	649C95639DAB00648ACB4546CBB52EA681D7F66D92642AE2B6B868565C8761EC	649C95639DAB00648ACB4546CBB52EA681D7F66D92642AE2B6B868565C8761EC	649C95639DAB00648ACB4546CBB52EA681D7F66D92642AE2B6B868565C8761EC	649C95639DAB00648ACB4546CBB52EA681D7F66D92642AE2B6B868565C8761EC
