"manifest_id","manifest_sha256","mode","cell","replay","run_id","pass","error","record_count","logical_key_bytes","logical_value_bytes","total_sst_bytes","end_to_end_build_write_cpu_ns","end_to_end_build_write_wall_ns","peak_working_set_bytes","cold_full_scan_ns","warm_point_lookup_ns","warm_range_probe_ns","process_cpu_ns","process_wall_ns","run_directory_logical_bytes","selector_trace","result_sha256","result_path"
"nvd-2015","2D3CC2D0F4024C78C033C5427AD85F056FC5850E95B1AE45F07B3A545F28FE76","B0","G1","R1","nvd-2015-B0-G1-R1","True",,"996","21935","4168607","1248396","406250000","1340618200","22872064","4843700","1502200","403900","500000000","1438059200","1351548","","CDDC8FF18902A2C6E459B3ECE552AEAEF1A13E325740DA724B33C89B1BB881C8","resources/build/claim-runs/nvd-2015-B0-G1-R1/result.json"
"nvd-2015","2D3CC2D0F4024C78C033C5427AD85F056FC5850E95B1AE45F07B3A545F28FE76","B0","G1","R2","nvd-2015-B0-G1-R2","True",,"996","21935","4168607","1248396","265625000","1320687800","23187456","5214500","1707800","459600","312500000","1415566300","1352272","","98866DE87511A9842B65A47A5519DFBEA6EE673D224C7995C5CB621194BB7CBA","resources/build/claim-runs/nvd-2015-B0-G1-R2/result.json"
"nvd-2015","2D3CC2D0F4024C78C033C5427AD85F056FC5850E95B1AE45F07B3A545F28FE76","B0","G2","R1","nvd-2015-B0-G2-R1","True",,"996","21935","4168607","1248396","312500000","1078109800","22667264","4877500","1509900","484100","359375000","1182479000","1352298","","453B43BC25C688F69A38EC5CC62BCA0392AB37FBA502AC9B9DA96E6638D65505","resources/build/claim-runs/nvd-2015-B0-G2-R1/result.json"
"nvd-2015","2D3CC2D0F4024C78C033C5427AD85F056FC5850E95B1AE45F07B3A545F28FE76","B0","G2","R2","nvd-2015-B0-G2-R2","True",,"996","21935","4168607","1248396","406250000","1144697100","22233088","4676100","1482000","469800","437500000","1269510600","1352299","","887D042C37D0C4A9DC889EF5E0D8C618971886A3BBA3E9CDF617A18CBE8CADF0","resources/build/claim-runs/nvd-2015-B0-G2-R2/result.json"
"nvd-2015","2D3CC2D0F4024C78C033C5427AD85F056FC5850E95B1AE45F07B3A545F28FE76","B1","G1","R1","nvd-2015-B1-G1-R1","True",,"996","21935","4168607","886339","312500000","1428233900","23347200","5389700","1464500","501900","406250000","1527922700","990344","current	1	6387	0	0	0	0	0	0	0	4096 || current	1	6387	0	0	0	0	0	0	0	4096","2C78B64043B11174FF561959659FDBA738B175F9058D24878720F54DC19A5BD7","resources/build/claim-runs/nvd-2015-B1-G1-R1/result.json"
"nvd-2015","2D3CC2D0F4024C78C033C5427AD85F056FC5850E95B1AE45F07B3A545F28FE76","B1","G1","R2","nvd-2015-B1-G1-R2","True",,"996","21935","4168607","886339","328125000","1381505200","23257088","5257800","1591800","564700","359375000","1471787600","990342","current	1	6387	0	0	0	0	0	0	0	4096 || current	1	6387	0	0	0	0	0	0	0	4096","66B92E23E0D174D532678CB6C1993CB0B5260EDC73D85FFACCFB6385708046B2","resources/build/claim-runs/nvd-2015-B1-G1-R2/result.json"
"nvd-2015","2D3CC2D0F4024C78C033C5427AD85F056FC5850E95B1AE45F07B3A545F28FE76","B1","G2","R1","nvd-2015-B1-G2-R1","True",,"996","21935","4168607","858912","312500000","1096572400","23048192","4841800","1595800","432200","390625000","1196581700","962921","current	1	12132	0	0	0	0	0	0	0	8192 || current	1	12132	0	0	0	0	0	0	0	8192","887FBDEF2236D53CEF3E3C7DF5743E7F5231C18C292B9BEA3584BC6E25D7A5D0","resources/build/claim-runs/nvd-2015-B1-G2-R1/result.json"
"nvd-2015","2D3CC2D0F4024C78C033C5427AD85F056FC5850E95B1AE45F07B3A545F28FE76","B1","G2","R2","nvd-2015-B1-G2-R2","True",,"996","21935","4168607","858912","250000000","1081387100","23818240","5086400","1600400","456200","312500000","1176738100","962919","current	1	12132	0	0	0	0	0	0	0	8192 || current	1	12132	0	0	0	0	0	0	0	8192","DA61EECF8E6D707EB128BBB8DAD6AC5D03A9F3E2A6361106684C32E6925A7814","resources/build/claim-runs/nvd-2015-B1-G2-R2/result.json"
"nvd-2015","2D3CC2D0F4024C78C033C5427AD85F056FC5850E95B1AE45F07B3A545F28FE76","B2","G1","R1","nvd-2015-B2-G1-R1","True",,"996","21935","4168607","815913","281250000","1072542100","26456064","6887300","1815000","508100","359375000","1179669100","919944","current	10	74089	0	0	0	0	0	0	0	65536 || current	10	74089	0	0	0	0	0	0	0	65536","EBF5A610B4D7D1345347297E337B95DD69761F8005796F8112E9C71E54F72400","resources/build/claim-runs/nvd-2015-B2-G1-R1/result.json"
"nvd-2015","2D3CC2D0F4024C78C033C5427AD85F056FC5850E95B1AE45F07B3A545F28FE76","B2","G1","R2","nvd-2015-B2-G1-R2","True",,"996","21935","4168607","815913","296875000","1051879700","26611712","6146500","1483800","393100","359375000","1159209700","919922","current	10	74089	0	0	0	0	0	0	0	65536 || current	10	74089	0	0	0	0	0	0	0	65536","C695E53E27A70DF11CA31B0DA5F1D2629483B0D85BB79C3E818DC32ABDBF17CC","resources/build/claim-runs/nvd-2015-B2-G1-R2/result.json"
