id	family	source_package_or_route	bytes	sha256_or_header_etag	validation	status	note
nvd-2015	NVD_JSON_2_0	resume1 verified official annual feed	4190045	36D62C93A5F15ACDCBA69513F3CA86D44A35E10ACD44258E5A49AFE1EB24B0C0	PASS_LENGTH_HASH_GZIP_JSON_PROVENANCE_LICENSE	CLOSED_READ_ONLY	immutable upstream
nvd-2016	NVD_JSON_2_0	resume1 verified official annual feed	5159096	E3A4B0B68C30065FB24417DDF1240E8149B3F99F433F4A262B776090A24E930F	PASS_LENGTH_HASH_GZIP_JSON_PROVENANCE_LICENSE	CLOSED_READ_ONLY	immutable upstream
nvd-2017	NVD_JSON_2_0	resume1 verified official annual feed	7706425	F3569A60D9AD55B6F076ADF6DF74F67BBAE93A88AFD97D31C5A8BC1E4B4FB894	PASS_LENGTH_HASH_GZIP_JSON_PROVENANCE_LICENSE	CLOSED_READ_ONLY	immutable upstream
nvd-2018	NVD_JSON_2_0	resume1 verified official annual feed	8264377	6508FA9EB5E45767E3120B5D4A135799C593281D717491BBB94E715F9CF89B31	PASS_LENGTH_HASH_GZIP_JSON_PROVENANCE_LICENSE	CLOSED_READ_ONLY	immutable upstream
nvd-2019	NVD_JSON_2_0	resume2 verified official annual feed	10171125	7106AD65484B53C0E400F59DFF7A350CF7A63BBB11BD8FFD37EE3435D68953E6	PASS_LENGTH_HASH_GZIP_JSON_PROVENANCE_LICENSE	CLOSED_READ_ONLY	API parity did not start because first API page transfer was short
nvd-2020	NVD_JSON_2_0	resume2 verified official annual feed	13960211	645B6399945F08FEA8693456056BEA8F1837BC973D41176014FCF99F6283C047	PASS_LENGTH_HASH_GZIP_JSON_PROVENANCE_LICENSE	CLOSED_READ_ONLY	immutable upstream
nvd-2021	NVD_JSON_2_0	resume2 verified official annual feed	16852651	E3600406245A4626E5BEFEDA3F6E7BFCB7806F1B8BE7BF62895D55B5395AC595	PASS_LENGTH_HASH_GZIP_JSON_PROVENANCE_LICENSE	CLOSED_READ_ONLY	immutable upstream
nvd-2022	NVD_JSON_2_0	resume2 verified official annual feed	18333784	D9568EB4A189076CE06D020C27908EDD76E3C4A40F048297D8A175AB8E826AD6	PASS_LENGTH_HASH_GZIP_JSON_PROVENANCE_LICENSE	CLOSED_READ_ONLY	immutable upstream
nvd-2023	NVD_JSON_2_0	resume3 Routes 2 and 4	0	HEAD_ETAG_80e993256129dd1:0	HEAD_ONLY__NO_BODY__NO_HASH_GZIP_JSON	NOT_CLOSED	HEAD Content-Length 20145900; curl TLS failure; BITS NullReferenceException
nvd-2024	NVD_JSON_2_0	resume3 conditional batch	0	UNAVAILABLE	NOT_STARTED_AFTER_NVD_2023_BLOCKER	NOT_CLOSED	no official body request
pypi-boto3	PYPI_JSON_API	Route 3 locked	0	UNAVAILABLE	NOT_STARTED_NVD_PRECONDITION_FALSE	NOT_CLOSED	no official body request
pypi-botocore	PYPI_JSON_API	Route 3 locked	0	UNAVAILABLE	NOT_STARTED_NVD_PRECONDITION_FALSE	NOT_CLOSED	no official body request
pypi-django	PYPI_JSON_API	Route 3 locked	0	UNAVAILABLE	NOT_STARTED_NVD_PRECONDITION_FALSE	NOT_CLOSED	no official body request
pypi-pandas	PYPI_JSON_API	Route 3 locked	0	UNAVAILABLE	NOT_STARTED_NVD_PRECONDITION_FALSE	NOT_CLOSED	no official body request
pypi-numpy	PYPI_JSON_API	Route 3 locked	0	UNAVAILABLE	NOT_STARTED_NVD_PRECONDITION_FALSE	NOT_CLOSED	no official body request
pypi-scipy	PYPI_JSON_API	Route 3 locked	0	UNAVAILABLE	NOT_STARTED_NVD_PRECONDITION_FALSE	NOT_CLOSED	no official body request
pypi-tensorflow	PYPI_JSON_API	Route 3 locked	0	UNAVAILABLE	NOT_STARTED_NVD_PRECONDITION_FALSE	NOT_CLOSED	no official body request
pypi-torch	PYPI_JSON_API	Route 3 locked	0	UNAVAILABLE	NOT_STARTED_NVD_PRECONDITION_FALSE	NOT_CLOSED	no official body request
pypi-matplotlib	PYPI_JSON_API	Route 3 locked	0	UNAVAILABLE	NOT_STARTED_NVD_PRECONDITION_FALSE	NOT_CLOSED	no official body request
pypi-scikit-learn	PYPI_JSON_API	Route 3 locked	0	UNAVAILABLE	NOT_STARTED_NVD_PRECONDITION_FALSE	NOT_CLOSED	no official body request
