id	family	official_url	attempts_started	http_status	content_length	actual_bytes	sha256	validation	status	error
nvd-2023	NVD_JSON_2_0	https://nvd.nist.gov/feeds/json/cve/2.0/nvdcve-2.0-2023.json.gz	1			0		NO_HTTP_RESPONSE__NO_BODY__NO_SCHEMA	BLOCKED	PLATFORM_DEFAULT_TLS_HANDSHAKE_FAILURE
nvd-2024	NVD_JSON_2_0	https://nvd.nist.gov/feeds/json/cve/2.0/nvdcve-2.0-2024.json.gz	0			0		NOT_STARTED_AFTER_FIRST_REQUIRED_ASSET_FAILURE	NOT_STARTED	
pypi-boto3	PYPI_JSON_API	https://pypi.org/pypi/boto3/json	0			0		NOT_STARTED_AFTER_FIRST_REQUIRED_ASSET_FAILURE	NOT_STARTED	
pypi-botocore	PYPI_JSON_API	https://pypi.org/pypi/botocore/json	0			0		NOT_STARTED_AFTER_FIRST_REQUIRED_ASSET_FAILURE	NOT_STARTED	
pypi-django	PYPI_JSON_API	https://pypi.org/pypi/django/json	0			0		NOT_STARTED_AFTER_FIRST_REQUIRED_ASSET_FAILURE	NOT_STARTED	
pypi-pandas	PYPI_JSON_API	https://pypi.org/pypi/pandas/json	0			0		NOT_STARTED_AFTER_FIRST_REQUIRED_ASSET_FAILURE	NOT_STARTED	
pypi-numpy	PYPI_JSON_API	https://pypi.org/pypi/numpy/json	0			0		NOT_STARTED_AFTER_FIRST_REQUIRED_ASSET_FAILURE	NOT_STARTED	
pypi-scipy	PYPI_JSON_API	https://pypi.org/pypi/scipy/json	0			0		NOT_STARTED_AFTER_FIRST_REQUIRED_ASSET_FAILURE	NOT_STARTED	
pypi-tensorflow	PYPI_JSON_API	https://pypi.org/pypi/tensorflow/json	0			0		NOT_STARTED_AFTER_FIRST_REQUIRED_ASSET_FAILURE	NOT_STARTED	
pypi-torch	PYPI_JSON_API	https://pypi.org/pypi/torch/json	0			0		NOT_STARTED_AFTER_FIRST_REQUIRED_ASSET_FAILURE	NOT_STARTED	
pypi-matplotlib	PYPI_JSON_API	https://pypi.org/pypi/matplotlib/json	0			0		NOT_STARTED_AFTER_FIRST_REQUIRED_ASSET_FAILURE	NOT_STARTED	
pypi-scikit-learn	PYPI_JSON_API	https://pypi.org/pypi/scikit-learn/json	0			0		NOT_STARTED_AFTER_FIRST_REQUIRED_ASSET_FAILURE	NOT_STARTED	

