ordinal	asset_id	url	request_utc	response_utc	http_status	content_length	body_bytes	sha256	header_count	headers_ref	attempts	retries	complete
1	NVD_2023_CVE_JSON_2_0	https://nvd.nist.gov/feeds/json/cve/2.0/nvdcve-2.0-2023.json.gz	2026-08-25T04:50:39.918918Z	2026-08-25T04:50:40.782448Z	200	20147760	20147760	1ECA69F69CA2F40799F3BA38ED106C0C1E476DE038E05E466C7ECB63E44A8495	20	resources/logs/acquisition_summary.json#results[0].headers	1	0	true
2	NVD_2024_CVE_JSON_2_0	https://nvd.nist.gov/feeds/json/cve/2.0/nvdcve-2.0-2024.json.gz	2026-08-25T04:53:12.913414Z	2026-08-25T04:53:13.691185Z	200	24982076	24982076	DFC8B99E6EC68350E86E2AE59BD7D94CF6879ADC64703208D2D29D236BF41C2A	20	resources/logs/acquisition_summary.json#results[1].headers	1	0	true
3	PYPI_BOTO3_JSON	https://pypi.org/pypi/boto3/json	2026-08-25T04:57:48.495842Z	2026-08-25T04:57:49.372888Z	200	3251471	3251471	9AA9BC7CB1A147A17875D35706B3C89886F19C5B180D18D3B45B9AF0AF357004	27	resources/logs/acquisition_summary.json#results[2].headers	1	0	true
4	PYPI_BOTOCORE_JSON	https://pypi.org/pypi/botocore/json	2026-08-25T04:59:55.462804Z	2026-08-25T04:59:55.848476Z	200	3799093	3799093	776196005D86C26E64A4FB9610673E8133CACCE92D60C8FDBE7045C831FD0448	27	resources/logs/acquisition_summary.json#results[3].headers	1	0	true
5	PYPI_DJANGO_JSON	https://pypi.org/pypi/django/json	2026-08-25T05:02:22.412580Z	2026-08-25T05:02:22.970929Z	200	619755	619755	D65AA5C73D86277C1569CF65704CD1B32186A45F32C6D7D2C44E081F9DC9D465	27	resources/logs/acquisition_summary.json#results[4].headers	1	0	true
6	PYPI_PANDAS_JSON	https://pypi.org/pypi/pandas/json	2026-08-25T05:02:39.352007Z	2026-08-25T05:02:40.343150Z	200	2130480	2130480	DEF430F070766D7D545517B3C2A08AFBB59F865C4297281D00FAFCC4E25A123F	27	resources/logs/acquisition_summary.json#results[5].headers	1	0	true
7	PYPI_NUMPY_JSON	https://pypi.org/pypi/numpy/json	2026-08-25T05:03:57.159291Z	2026-08-25T05:03:57.529958Z	200	3616753	3616753	E868364CD700CC99BEF71BDAB807DA9BD4B4B33B476BEDE36A9F305B41E3A937	27	resources/logs/acquisition_summary.json#results[6].headers	1	0	true
8	PYPI_SCIPY_JSON	https://pypi.org/pypi/scipy/json	2026-08-25T05:06:01.205232Z	2026-08-25T05:06:01.617937Z	200	2293966	2293966	A9536EE9B16019746A6AE0E47388EB39311914FF676960CC42BEB45CBAFE4ED5	27	resources/logs/acquisition_summary.json#results[7].headers	1	0	true
9	PYPI_TENSORFLOW_JSON	https://pypi.org/pypi/tensorflow/json	2026-08-25T05:07:19.724750Z	2026-08-25T05:07:20.537143Z	200	1518930	1518930	FAAE92BAAD9F88FEC166E92BD8094A9A6CA69F01525C017BE86AB1525EE7EDE4	27	resources/logs/acquisition_summary.json#results[8].headers	1	0	true
10	PYPI_TORCH_JSON	https://pypi.org/pypi/torch/json	2026-08-25T05:08:01.786752Z	2026-08-25T05:08:03.698264Z	200	829666	829666	60FE4E0031F47E244BF0843655CB77C343E59A6D3885E1F997ACA0E8DD79725D	27	resources/logs/acquisition_summary.json#results[9].headers	1	0	true
11	PYPI_MATPLOTLIB_JSON	https://pypi.org/pypi/matplotlib/json	2026-08-25T05:08:18.647774Z	2026-08-25T05:08:19.320406Z	200	2447559	2447559	9C4245FFBCAE1AE3CC53B55FA5AEC3226ABCC1D6DFC5A82C8E278A71BBA8DCBA	27	resources/logs/acquisition_summary.json#results[10].headers	1	0	true
12	PYPI_SCIKIT_LEARN_JSON	https://pypi.org/pypi/scikit-learn/json	2026-08-25T05:10:06.064645Z	2026-08-25T05:10:06.627021Z	200	1376297	1376297	0749B0AF90FB0E2304920C842E8E24B41880681653D745168654E809004342AF	27	resources/logs/acquisition_summary.json#results[11].headers	1	0	true
13	NVD_2015_CVE_JSON_2_0	https://nvd.nist.gov/feeds/json/cve/2.0/nvdcve-2.0-2015.json.gz	2026-08-25T05:18:51.064632Z	2026-08-25T05:18:51.886766Z	200	4190057	4190057	6B9531F2C2DC08B6181838C9DF08CCC8C9D28455A8EA77B8917C347E1CF8F16F	20	resources/logs/expansion_acquisition_summary.json#results[0].headers	1	0	true
14	NVD_2016_CVE_JSON_2_0	https://nvd.nist.gov/feeds/json/cve/2.0/nvdcve-2.0-2016.json.gz	2026-08-25T05:19:04.300239Z	2026-08-25T05:19:05.027838Z	200	5159825	5159825	17ED05886434172F581A9FFC240A5BF4BB7404D117E0323F19365A5A611CE2CE	20	resources/logs/expansion_acquisition_summary.json#results[1].headers	1	0	true
15	NVD_2017_CVE_JSON_2_0	https://nvd.nist.gov/feeds/json/cve/2.0/nvdcve-2.0-2017.json.gz	2026-08-25T05:20:07.488736Z	2026-08-25T05:20:08.526867Z	200	7708783	7708783	939BD796B0F5242184D069365AEA45D6D92311323501C9FA17D9E059700412D6	20	resources/logs/expansion_acquisition_summary.json#results[2].headers	1	0	true
16	NVD_2018_CVE_JSON_2_0	https://nvd.nist.gov/feeds/json/cve/2.0/nvdcve-2.0-2018.json.gz	2026-08-25T05:20:33.450988Z	2026-08-25T05:20:34.391227Z	200	8264513	8264513	32D7EDE44008063924C6A41A0F54BA2DC5C5257ABB3B7F0F8A7EFFE5B80FBDF3	20	resources/logs/expansion_acquisition_summary.json#results[3].headers	1	0	true
17	NVD_2019_CVE_JSON_2_0	https://nvd.nist.gov/feeds/json/cve/2.0/nvdcve-2.0-2019.json.gz	2026-08-25T05:20:50.280585Z	2026-08-25T05:20:51.310779Z	200	10173195	10173195	939D4C6637F9315CA4022003F43EE7087FBF831C581C4433190CC7202DE7F0A8	20	resources/logs/expansion_acquisition_summary.json#results[4].headers	1	0	true
18	NVD_2020_CVE_JSON_2_0	https://nvd.nist.gov/feeds/json/cve/2.0/nvdcve-2.0-2020.json.gz	2026-08-25T05:22:33.620154Z	2026-08-25T05:22:34.666439Z	200	13978350	13978350	4C4B615C573F7EF030B36C9420BBEBEA1A7246FB2046B3F5F4EA2F7C7D6AA5CA	20	resources/logs/expansion_acquisition_summary.json#results[5].headers	1	0	true
19	NVD_2021_CVE_JSON_2_0	https://nvd.nist.gov/feeds/json/cve/2.0/nvdcve-2.0-2021.json.gz	2026-08-25T05:22:58.153180Z	2026-08-25T05:22:59.134406Z	200	16832319	16832319	51EE86C017E6E600C62F92F61DA20BB7F7C16E168BF52F684A037B8F3BB198D3	20	resources/logs/expansion_acquisition_summary.json#results[6].headers	1	0	true
20	NVD_2022_CVE_JSON_2_0	https://nvd.nist.gov/feeds/json/cve/2.0/nvdcve-2.0-2022.json.gz	2026-08-25T05:24:21.024957Z	2026-08-25T05:24:22.131127Z	200	18338517	18338517	8A25C328D682805988FD06AF124B15365F9EBFD3371AF4FB2EC0D31ADCBA5B4B	20	resources/logs/expansion_acquisition_summary.json#results[7].headers	1	0	true
