key,op,size,op_count,key_size
1666686808,GET,201,1,59
1665494546,GET,188,1,65
1665494532,GET,784,1,44
1666686906,GET,111,1,60
1666686907,SET,85,1,44
1665494550,GET,60,1,18
1666687060,GET,0,1,52
1665502914,GET,58,1,17
1665498008,GET,185,1,94
1665494549,GET,276,1,72
1665447644,GET,103,1,61
1665447472,GET,153,1,91
1665558220,SET,163,1,23
1665558220,GET,0,1,23
1665555953,GET,90,1,47
1666687060,SET,92,1,52
1666095459,GET,863,1,68
1665497905,GET,689,2,95
1666687170,SET,104,1,64
1666687170,GET,0,1,64
1666687171,GET,110,1,64
1665497905,GET,689,4,95
1666093881,GET,458,1,81
1666687209,GET,161,1,85
1665447097,GET,499,1,38
1665447094,GET,94,1,52
1666467815,GET,279,1,64
1666687209,GET,161,1,85
1666687615,SET,115,1,40
1666687615,GET,0,1,40
1665447864,GET,1806,1,73
1665555769,GET,463,1,66
1665555769,GET,463,2,66
1665555769,GET,463,1,66
1665494590,GET,66,1,24
1665494546,GET,188,1,65
1665555769,GET,463,1,66
1665555769,GET,463,1,66
1666686819,GET,114,2,74
1666074776,GET,103,1,61
1666687019,GET,148,1,61
1666687092,SET,166,1,50
1666687092,GET,0,1,50
1666687108,GET,155,1,61
1666687169,SET,85,1,45
1666687169,GET,0,1,45
1666687481,GET,0,1,39
1666529962,GET,100,3,60
1666687570,SET,212,1,44
1666687570,GET,0,1,44
1666687571,SET,134,1,93
1666687571,GET,0,1,93
1665447954,GET,747,3,39
1666529962,GET,100,2,60
1665554751,SET,199,2,21
1665494546,GET,188,2,65
1665494557,GET,129,1,88
1666686919,GET,173,1,95
1666162911,GET,116,1,76
1666687048,GET,108,1,68
1665446729,GET,191,3,95
1665446822,GET,153,1,80
1665497905,GET,689,2,95
1665497975,GET,1371,3,44
1665497975,GET,1371,3,44
1665696265,GET,93,1,53
1666687171,GET,110,1,64
1666687205,SET,79,1,38
1666687205,GET,0,1,38
1665447069,GET,75,3,31
1665447069,GET,75,5,31
1665447069,GET,75,6,31
1666687458,SET,93,1,51
1666687458,GET,0,1,51
1665447734,SET,355,1,18
1665447734,GET,0,1,18
1665447875,GET,63,1,22
1666074226,SET,91,1,26
1666074226,GET,0,1,26
1666448253,GET,93,2,53
1666687625,SET,94,1,54
1666687625,GET,0,1,54
1666687614,GET,91,1,26
1665447862,GET,147,3,107
1665448411,GET,306,1,67
1665503877,DELETE,0,1,44
1665448080,GET,93,3,53
1666688659,SET,99,1,56
1666688659,GET,0,1,56
1665448080,GET,93,5,53
1665448104,GET,108,1,55
1665504919,GET,75,12,33
1665705476,GET,93,1,53
1665450091,GET,510,4,77
1666618100,GET,282,1,76
1665450091,GET,510,2,77
1666690139,SET,644,1,49
1666690139,GET,0,1,49
1666686807,GET,156,1,62
1665555769,GET,463,1,66
1665494499,GET,112,3,61
1666686807,GET,156,1,62
1666686807,SET,156,1,62
1666686807,GET,0,1,62
1666686905,DELETE,0,1,44
1665831806,GET,156,1,91
1666686970,SET,138,1,88
1666686970,GET,0,1,88
1665446846,GET,108,2,68
