repeat	sequential_full_decode_ns	random_100k_ns	sequential_checksum	random_checksum
0	19398300	30000400	5019149153090492236	7112103088105708235
1	19625400	29009200	5019149153090492236	7112103088105708235
2	21026400	28490100	5019149153090492236	7112103088105708235
3	19255200	28144300	5019149153090492236	7112103088105708235
4	19235500	28164500	5019149153090492236	7112103088105708235
5	19187100	28300500	5019149153090492236	7112103088105708235
6	19281800	28669900	5019149153090492236	7112103088105708235
7	20965600	28378700	5019149153090492236	7112103088105708235
8	19221800	28043800	5019149153090492236	7112103088105708235
9	19195900	28250700	5019149153090492236	7112103088105708235
10	20772200	28126800	5019149153090492236	7112103088105708235
