repeat	sequential_full_decode_ns	random_100k_ns	sequential_checksum	random_checksum
0	18857500	32283600	5019149153090492236	7112103088105708235
1	18714600	30972800	5019149153090492236	7112103088105708235
2	18670100	30776000	5019149153090492236	7112103088105708235
3	18744100	31166900	5019149153090492236	7112103088105708235
4	18765900	30903800	5019149153090492236	7112103088105708235
5	18801400	30969600	5019149153090492236	7112103088105708235
6	18817100	30898900	5019149153090492236	7112103088105708235
7	18778600	30858200	5019149153090492236	7112103088105708235
8	18757400	30871800	5019149153090492236	7112103088105708235
9	18805500	30887000	5019149153090492236	7112103088105708235
10	18769600	31050200	5019149153090492236	7112103088105708235
