repeat	sequential_full_decode_ns	random_100k_ns	sequential_checksum	random_checksum
0	1016600	30072900	8405750924769033072	15713523021230978864
1	1004600	30019800	8405750924769033072	15713523021230978864
2	1112800	29963300	8405750924769033072	15713523021230978864
3	1190100	30137300	8405750924769033072	15713523021230978864
4	1009400	29762600	8405750924769033072	15713523021230978864
5	964900	29753200	8405750924769033072	15713523021230978864
6	989600	29941700	8405750924769033072	15713523021230978864
7	974200	29785800	8405750924769033072	15713523021230978864
8	967900	29969200	8405750924769033072	15713523021230978864
9	975100	31131200	8405750924769033072	15713523021230978864
10	980800	29743600	8405750924769033072	15713523021230978864
