repeat	sequential_full_decode_ns	random_100k_ns	sequential_checksum	random_checksum
0	1023000	31184000	8405750924769033072	15713523021230978864
1	1007900	30949300	8405750924769033072	15713523021230978864
2	1084400	30814100	8405750924769033072	15713523021230978864
3	1034200	31218100	8405750924769033072	15713523021230978864
4	1014200	31202000	8405750924769033072	15713523021230978864
5	1005700	31161200	8405750924769033072	15713523021230978864
6	971600	30993200	8405750924769033072	15713523021230978864
7	1025400	31515200	8405750924769033072	15713523021230978864
8	1073300	31823000	8405750924769033072	15713523021230978864
9	1014400	31866400	8405750924769033072	15713523021230978864
10	995300	31718600	8405750924769033072	15713523021230978864
