corpus	dimension	baseline_p50	candidate_p50	ratio_p50	baseline_p90	candidate_p90	ratio_p90	paired_ratio_p50	paired_ratio_p90	ceiling
cnr-2000	end_to_end_elapsed_ns	498095200	3801686100	7.632448776860327	516917600	4044720200	7.824690434220077	7.778506047001813	7.899305691858114	1.05
cnr-2000	process_cpu_ns	453125000	3734375000	8.241379310344827	468750000	3906250000	8.333333333333334	8.482758620689655	8.962962962962964	1.05
cnr-2000	peak_working_set_bytes	66179072	66228224	1.0007427121371542	66301952	66359296	1.0008648915796627	1.0010509396636993	1.003531817336886	1.05
cnr-2000	sequential_full_decode_ns	21548500	21471500	0.9964266654291482	22731900	22979800	1.0109053796647003	0.9790475936114523	1.0365694699237231	1.05
cnr-2000	random_100k_ns	38003800	40721700	1.0715165325572706	38703300	44277900	1.144034229639333	1.0935432772512224	1.2162162162162162	1.05
wiki-vote	end_to_end_elapsed_ns	111312300	205118700	1.8427316657727852	114815400	212613800	1.8517881747570448	1.8411444885497246	1.9927147224879485	1.05
wiki-vote	process_cpu_ns	46875000	156250000	3.3333333333333335	93750000	171875000	1.8333333333333333	2.3333333333333335	4.333333333333333	1.05
wiki-vote	peak_working_set_bytes	13361152	13516800	1.0116492949110976	13565952	13619200	1.003925120772947	1.006133088009813	1.032429061428126	1.05
wiki-vote	sequential_full_decode_ns	1052300	1040900	0.9891665874750546	1305400	1202100	0.9208671671518308	0.9972027972027973	1.0226960110041265	1.05
wiki-vote	random_100k_ns	33537100	33600500	1.0018904437175546	34544400	34278900	0.9923142390662452	0.9937442414520039	1.0364899719098575	1.05
