corpus	pair_index	order_position	variant	exit_code	elapsed_ns	cpu_ns	peak_working_set_bytes	nodes	arcs	returned_bits	build_ns	sequential_validate_ns	ef_build_ns	random_validate_and_query_ns	harness_query_checksum	reader_exit_code	reader_process_elapsed_ns	reader_process_cpu_ns	reader_peak_working_set_bytes	reader_sequential_full_decode_ns	reader_random_100k_ns	reader_sequential_checksum	reader_random_checksum	native_payload_bytes	graph_sha256	offsets_sha256	properties_sha256	ef_sha256
cnr-2000	0	0	baseline	0	483339800	437500000	66121728	325557	3216152	9319309	143338000	51036200	4944400	145067400	16859436873049021023	0	155138100	62500000	9740288	21189200	36133600	5019149153090492236	7112103088105708235	1486606	A078715B89770338192EE7BE42BCC05D62FFFC734017457C0891DE923FB858CE	E777137D0127AAA40C30CB896D1B3A138E25D10AB4C8AC8F454455BC57D161A3	194FBE47188E4F3DB74A53E7363D7B17293D132BEE94ED8D4E974EB92BF35701	9E36D7E27E8D23B9BEDA231170497D41587B00A139B279A826CFA70E1AF7F1B6
cnr-2000	0	1	candidate	0	3840937800	3796875000	66187264	325557	3216152	8763554	3500916100	48677500	4989100	150880500	16859436873049021023	0	129103400	62500000	9007104	20834400	36317200	5019149153090492236	7112103088105708235	1413845	FCA303AE9E2D537446D907159BA4583B050422329865D6C137C5BF1E9BB30415	C51F0DF7CBF88FC5D5B38474440E13AB86068038CEA7E7AD99FA1DEC6D79641B	6BB9E893301AF8E9FE682819CB5FB2DC9E28A19C1F75D39652908076BE58A2AB	7F4CB983A01D37466315B20E435F2CB3D09413AB0756EB7D06B71798C83220C3
cnr-2000	1	0	candidate	0	4044720200	3968750000	66039808	325557	3216152	8763554	3635405900	50108500	4790500	187285900	16859436873049021023	0	131313600	93750000	8998912	23887900	44277900	5019149153090492236	7112103088105708235	1413845	FCA303AE9E2D537446D907159BA4583B050422329865D6C137C5BF1E9BB30415	C51F0DF7CBF88FC5D5B38474440E13AB86068038CEA7E7AD99FA1DEC6D79641B	6BB9E893301AF8E9FE682819CB5FB2DC9E28A19C1F75D39652908076BE58A2AB	7F4CB983A01D37466315B20E435F2CB3D09413AB0756EB7D06B71798C83220C3
cnr-2000	1	1	baseline	0	512034900	453125000	66301952	325557	3216152	9319309	155047500	53000000	5282500	159447300	16859436873049021023	0	117866300	93750000	9150464	22281500	39730000	5019149153090492236	7112103088105708235	1486606	A078715B89770338192EE7BE42BCC05D62FFFC734017457C0891DE923FB858CE	E777137D0127AAA40C30CB896D1B3A138E25D10AB4C8AC8F454455BC57D161A3	194FBE47188E4F3DB74A53E7363D7B17293D132BEE94ED8D4E974EB92BF35701	9E36D7E27E8D23B9BEDA231170497D41587B00A139B279A826CFA70E1AF7F1B6
cnr-2000	2	0	baseline	0	483917500	421875000	66256896	325557	3216152	9319309	145160600	44945600	5364900	140978500	16859436873049021023	0	100637900	78125000	9154560	22318400	34776800	5019149153090492236	7112103088105708235	1486606	A078715B89770338192EE7BE42BCC05D62FFFC734017457C0891DE923FB858CE	E777137D0127AAA40C30CB896D1B3A138E25D10AB4C8AC8F454455BC57D161A3	194FBE47188E4F3DB74A53E7363D7B17293D132BEE94ED8D4E974EB92BF35701	9E36D7E27E8D23B9BEDA231170497D41587B00A139B279A826CFA70E1AF7F1B6
cnr-2000	2	1	candidate	0	3764155200	3734375000	66326528	325557	3216152	8763554	3429785000	43885100	5371700	153311700	16859436873049021023	0	122929400	93750000	9015296	21729600	43060800	5019149153090492236	7112103088105708235	1413845	FCA303AE9E2D537446D907159BA4583B050422329865D6C137C5BF1E9BB30415	C51F0DF7CBF88FC5D5B38474440E13AB86068038CEA7E7AD99FA1DEC6D79641B	6BB9E893301AF8E9FE682819CB5FB2DC9E28A19C1F75D39652908076BE58A2AB	7F4CB983A01D37466315B20E435F2CB3D09413AB0756EB7D06B71798C83220C3
cnr-2000	3	0	candidate	0	3865571500	3796875000	66342912	325557	3216152	8763554	3495605900	55483700	4146500	157973600	16859436873049021023	0	125367700	93750000	9011200	21143100	41558800	5019149153090492236	7112103088105708235	1413845	FCA303AE9E2D537446D907159BA4583B050422329865D6C137C5BF1E9BB30415	C51F0DF7CBF88FC5D5B38474440E13AB86068038CEA7E7AD99FA1DEC6D79641B	6BB9E893301AF8E9FE682819CB5FB2DC9E28A19C1F75D39652908076BE58A2AB	7F4CB983A01D37466315B20E435F2CB3D09413AB0756EB7D06B71798C83220C3
cnr-2000	3	1	baseline	0	528175500	468750000	66080768	325557	3216152	9319309	152659200	51766700	4468800	154341300	16859436873049021023	0	111077300	78125000	9146368	22731900	38003800	5019149153090492236	7112103088105708235	1486606	A078715B89770338192EE7BE42BCC05D62FFFC734017457C0891DE923FB858CE	E777137D0127AAA40C30CB896D1B3A138E25D10AB4C8AC8F454455BC57D161A3	194FBE47188E4F3DB74A53E7363D7B17293D132BEE94ED8D4E974EB92BF35701	9E36D7E27E8D23B9BEDA231170497D41587B00A139B279A826CFA70E1AF7F1B6
cnr-2000	4	0	baseline	0	484634800	421875000	66109440	325557	3216152	9319309	148104900	47755000	5265700	145110300	16859436873049021023	0	112400300	78125000	9154560	20793100	38125100	5019149153090492236	7112103088105708235	1486606	A078715B89770338192EE7BE42BCC05D62FFFC734017457C0891DE923FB858CE	E777137D0127AAA40C30CB896D1B3A138E25D10AB4C8AC8F454455BC57D161A3	194FBE47188E4F3DB74A53E7363D7B17293D132BEE94ED8D4E974EB92BF35701	9E36D7E27E8D23B9BEDA231170497D41587B00A139B279A826CFA70E1AF7F1B6
cnr-2000	4	1	candidate	0	3796330600	3781250000	66228224	325557	3216152	8763554	3438563400	48433500	3887500	154003600	16859436873049021023	0	115401700	62500000	9052160	21544600	37907600	5019149153090492236	7112103088105708235	1413845	FCA303AE9E2D537446D907159BA4583B050422329865D6C137C5BF1E9BB30415	C51F0DF7CBF88FC5D5B38474440E13AB86068038CEA7E7AD99FA1DEC6D79641B	6BB9E893301AF8E9FE682819CB5FB2DC9E28A19C1F75D39652908076BE58A2AB	7F4CB983A01D37466315B20E435F2CB3D09413AB0756EB7D06B71798C83220C3
