item	value	provenance
v8_commit	c635f0d160b6e988b5ea5a907511a2929beb5d5e	https://chromium.googlesource.com/v8/v8/+/c635f0d160b6e988b5ea5a907511a2929beb5d5e
v8_tree	98d4847ec4f1a50d0b1c0323e23d02db5d53d7e9	official Gitiles commit JSON
v8_parent	c658a77923c51e3800329bc74197e2ea7717ec17	official Gitiles commit JSON
commit_position	refs/heads/main@{#109153}	official Gitiles commit JSON and LUCI output
commit_time	2026-08-10T15:45:40Z	official Gitiles commit JSON
v8_version	15.3.0 candidate	exact include/v8-version.h blob 4e9173296e47a3255afa2d74333ffecd2140d1f7
license_blob	9898b2d4833bfe87c05ba9106f082ed600bb2aab	exact Gitiles tree
license_bytes	3093	exact LICENSE text
license_sha256	6AB33AF8774A0F396EE3AEEB761E3229057682D6F9FA7F572E390C2CB3A6E509	exact LICENSE text
build_gn_blob	3e77061656fd9332772eb05bd1a2e1fc7757cde1	exact Gitiles tree
deps_blob	0dff19186688b908cd51baabe19921140a558467	exact Gitiles tree
v8_gni_blob	06f595324ef54b09264b0673849cd660295cd958	exact Gitiles tree
snapshot_toolchain_gni_blob	37ed262640d048a6fa5923279ae0388c1c0ae766	exact Gitiles tree
gn_isolate_map_blob	924bba4adff027e366486fbc0a6025ac269f502b	exact Gitiles tree
mb_config_blob	da5db1f882a8ddbda43cd5ad5ca366801725b0c7	exact Gitiles tree
test_build_gn_blob	a4c092a963593f145ba46d5c7bc9d948bb192dc5	exact Gitiles tree
mksnapshot_cc_blob	fa87f4d98e341cd0451b210e3307d2c91d8ec01e	exact Gitiles tree
snapshot_cc_blob	5e228aebb35da9938e0482eaada5efd947ae9d18	exact Gitiles tree
snapshot_compression_cc_blob	935312cfecc9aa736e610476901b85f3b4fbd872	exact Gitiles tree
serializer_cc_blob	50b021c3b2bac4bbffdb9d0e5c2956bd99b8603c	exact Gitiles tree
serializer_h_blob	318f24a804f59924bab19ef043ed1ebd0117d420	exact Gitiles tree
flag_definitions_h_blob	98f8aea16b5a64289910ae907b19b2cb9e78019e	exact Gitiles tree
win64_builder_build_id	8673841892324615937	https://ci.chromium.org/b/8673841892324615937
win64_builder_number	29159	official LUCI Buildbucket
win64_builder_status	SUCCESS	official LUCI Buildbucket
win64_tester_build_id	8673841534126114753	https://ci.chromium.org/b/8673841534126114753
win64_tester_number	71443	official LUCI Buildbucket
win64_tester_status	SUCCESS	official LUCI Buildbucket
win64_debug_builder_build_id	8673841892481508561	https://ci.chromium.org/b/8673841892481508561
win64_debug_builder_number	28922	official LUCI Buildbucket
win64_debug_builder_status	SUCCESS	official LUCI Buildbucket
win64_builder_manifest_name	isolated/client.v8/V8 Win64 - builder/c635f0d160b6e988b5ea5a907511a2929beb5d5e.json	official chromium-v8 bucket
win64_builder_manifest_generation	1786377119651730	official Google Storage object metadata
win64_builder_manifest_bytes	253	official Google Storage object metadata and body
win64_builder_manifest_sha256	41732913FCF3A49FACF64F305CCAFE1FC8CB54E079785F45A83E39FBE5E0C00A	locally recomputed over metadata body
win64_builder_manifest_md5_base64	CqvfEXpf715zj0CIW/VMuQ==	official Google Storage object metadata
win64_builder_manifest_crc32c_base64	132hgg==	official Google Storage object metadata
win64_builder_manifest_created	2026-08-10T15:51:59.732Z	official Google Storage object metadata
bot_default_cas_digest	64f142d706f9ef25dc32379d8b6da0b0c711bb47ada13b9b91f182e8a5ff3215/320	official isolate manifest
mozilla_cas_digest	c221af7c59ac3b19d7287269957a62a9e172ee56de0b755c1491e29c7648d2af/319	official isolate manifest
test262_cas_digest	76de32a32c0da52b0036c57ddd6f254d3073bac03995f7ab27882be16121d71c/319	official isolate manifest

